DATE,PM10,PM2.5,O3,NO2,CO,SO2
06-01-01,42,24,0.018,0.033,0.7,0.004
06-01-02,46,31,0.016,0.030,0.7,0.004
06-01-03,48,32,0.009,0.032,0.7,0.004
06-01-04,51,30,0.002,0.034,0.8,0.003
06-01-05,50,32,0.001,0.034,0.7,0.003
06-01-06,48,30,0.001,0.033,0.8,0.003
06-01-07,40,29,0.002,0.036,0.8,0.003
06-01-08,35,26,0.006,0.041,0.8,0.003
06-01-09,31,22,0.016,0.043,0.8,0.004
06-01-10,35,25,0.028,0.041,0.8,0.004
06-01-11,28,23,0.045,0.033,0.7,0.003
06-01-12,34,24,0.048,0.038,0.7,0.003
06-01-13,47,24,0.069,0.029,0.6,0.004
06-01-14,58,28,0.088,0.037,0.7,0.006
06-01-15,69,35,0.087,0.024,0.6,0.005
06-01-16,54,26,0.079,0.022,0.6,0.004
06-01-17,46,23,0.072,0.023,0.6,0.004
06-01-18,43,19,0.065,0.031,0.6,0.005
06-01-19,47,17,0.054,0.036,0.6,0.007
06-01-20,54,22,0.051,0.038,0.6,0.006
06-01-21,58,24,0.052,0.045,0.7,0.004
06-01-22,50,20,0.046,0.040,0.7,0.004
06-01-23,41,22,0.049,0.031,0.7,0.004
06-01-24,42,24,0.057,0.019,0.6,0.004
06-02-01,32,26,0.057,0.014,0.6,0.003
06-02-02,36,31,0.051,0.014,0.6,0.003
06-02-03,47,29,0.036,0.018,0.6,0.003
06-02-04,54,38,0.032,0.019,0.6,0.004
06-02-05,52,39,0.025,0.024,0.6,0.004
06-02-06,53,33,0.019,0.027,0.6,0.004
06-02-07,41,29,0.025,0.027,0.6,0.005
06-02-08,29,27,0.022,0.037,0.6,0.005
06-02-09,24,20,0.038,0.031,0.6,0.005
06-02-10,,14,0.043,0.033,0.6,0.005
06-02-11,,18,0.054,0.029,0.6,0.004
06-02-12,27,20,0.065,0.020,0.6,0.004
06-02-13,28,22,0.070,0.016,0.5,0.003
06-02-14,24,15,0.062,0.017,0.5,0.003
06-02-15,25,12,0.065,0.019,0.5,0.004
06-02-16,27,12,0.066,0.018,0.5,0.004
06-02-17,41,18,0.059,0.022,0.5,0.004
06-02-18,44,16,0.055,0.024,0.5,0.005
06-02-19,39,17,0.051,0.029,0.6,0.006
06-02-20,43,16,0.045,0.029,0.6,0.005
06-02-21,52,18,0.040,0.027,0.6,0.006
06-02-22,42,14,0.038,0.026,0.6,0.006
06-02-23,29,12,0.031,0.032,0.6,0.007
06-02-24,25,12,0.035,0.026,0.6,0.007
06-03-01,18,14,0.035,0.022,0.6,0.006
06-03-02,21,16,0.032,0.023,0.6,0.004
06-03-03,32,22,0.035,0.016,0.6,0.004
06-03-04,31,24,0.023,0.022,0.6,0.004
06-03-05,34,26,0.022,0.023,0.6,0.003
06-03-06,32,22,0.009,0.035,0.7,0.003
06-03-07,27,18,0.010,0.033,0.7,0.003
06-03-08,20,20,0.018,0.031,0.7,0.004
06-03-09,15,17,0.030,0.026,0.6,0.004
06-03-10,14,14,0.036,0.026,0.6,0.004
06-03-11,,14,0.045,0.024,0.6,0.003
06-03-12,17,16,0.055,0.021,0.6,0.003
06-03-13,25,18,0.072,0.017,0.6,0.003
06-03-14,25,19,0.080,0.018,0.6,0.003
06-03-15,36,24,0.090,0.016,0.5,0.003
06-03-16,36,27,0.105,0.017,0.6,0.005
06-03-17,53,35,0.091,0.018,0.5,0.006
06-03-18,46,32,0.074,0.018,0.5,0.004
06-03-19,35,22,0.069,0.019,0.5,0.003
06-03-20,47,25,0.052,0.035,0.6,0.006
06-03-21,58,25,0.043,0.039,0.7,0.004
06-03-22,49,20,0.018,0.060,0.8,0.004
06-03-23,51,20,0.003,0.070,0.9,0.004
06-03-24,56,29,0.002,0.064,0.9,0.006
06-04-01,45,32,0.013,0.043,0.7,0.010
06-04-02,44,34,0.014,0.037,0.7,0.010
06-04-03,50,30,0.018,0.030,0.7,0.007
06-04-04,46,30,0.032,0.018,0.6,0.005
06-04-05,44,30,0.015,0.032,0.7,0.004
06-04-06,50,32,0.012,0.039,0.7,0.005
06-04-07,45,34,0.012,0.046,0.7,0.005
06-04-08,40,29,0.016,0.049,0.8,0.005
06-04-09,34,28,0.025,0.045,0.7,0.005
06-04-10,33,26,0.038,0.034,0.7,0.005
06-04-11,34,26,0.054,0.025,0.6,0.005
06-04-12,31,26,0.067,0.019,0.7,0.005
06-04-13,48,29,0.078,0.016,0.7,0.007
06-04-14,44,26,0.077,0.014,0.6,0.005
06-04-15,47,24,0.067,0.012,0.5,0.004
06-04-16,57,27,0.051,0.014,0.5,0.004
06-04-17,59,29,0.047,0.017,0.5,0.008
06-04-18,59,38,0.041,0.019,0.5,0.007
06-04-19,56,38,0.028,0.027,0.6,0.004
06-04-20,48,27,0.022,0.031,0.6,0.005
06-04-21,45,27,0.034,0.021,0.6,0.005
06-04-22,38,21,0.023,0.024,0.6,0.004
06-04-23,45,28,0.013,0.029,0.6,0.003
06-04-24,53,34,0.009,0.032,0.6,0.004
06-05-01,37,36,0.014,0.027,0.6,0.006
06-05-02,33,36,0.011,0.028,0.7,0.005
06-05-03,44,32,0.008,0.030,0.7,0.005
06-05-04,47,32,0.004,0.034,0.7,0.004
06-05-05,42,34,0.010,0.025,0.6,0.004
06-05-06,43,33,0.002,0.032,0.7,0.004
06-05-07,48,33,0.004,0.031,0.7,0.004
06-05-08,41,35,0.008,0.032,0.7,0.005
06-05-09,35,29,0.018,0.028,0.7,0.005
06-05-10,27,27,0.033,0.022,0.7,0.006
06-05-11,33,25,0.045,0.023,0.6,0.005
06-05-12,36,33,0.062,0.019,0.6,0.004
06-05-13,30,29,0.068,0.016,0.6,0.004
06-05-14,46,31,0.078,0.018,0.6,0.003
06-05-15,68,34,0.087,0.016,0.6,0.003
06-05-16,53,33,0.089,0.017,0.5,0.003
06-05-17,49,28,0.083,0.021,0.6,0.004
06-05-18,75,40,0.082,0.021,0.7,0.007
06-05-19,92,48,0.069,0.024,0.7,0.008
06-05-20,98,48,0.044,0.036,0.8,0.008
06-05-21,73,41,0.027,0.044,0.8,0.008
06-05-22,64,39,0.020,0.045,0.8,0.006
06-05-23,62,39,0.023,0.040,0.8,0.008
06-05-24,89,44,0.021,0.038,0.8,0.009
06-06-01,84,50,0.015,0.040,0.8,0.012
06-06-02,90,63,0.016,0.033,0.8,0.013
06-06-03,79,64,0.016,0.029,0.8,0.010
06-06-04,67,53,0.016,0.024,0.7,0.008
06-06-05,59,47,0.021,0.019,0.6,0.008
