DATE,PM10,PM2.5,O3,NO2,CO,SO2
09-01-01,40,29,0.022,0.025,0.5,0.003
09-01-02,36,23,0.021,0.020,0.5,0.003
09-01-03,30,23,0.021,0.017,0.5,0.003
09-01-04,26,19,0.016,0.021,0.5,0.003
09-01-05,26,16,0.013,0.023,0.5,0.003
09-01-06,25,19,0.010,0.025,0.4,0.003
09-01-07,25,15,0.008,0.026,0.4,0.003
09-01-08,26,6,0.010,0.025,0.4,0.003
09-01-09,19,2,0.014,0.023,0.4,0.003
09-01-10,13,2,0.021,0.017,0.4,0.003
09-01-11,16,2,0.023,0.017,0.4,0.003
09-01-12,16,2,0.029,0.016,0.4,0.003
09-01-13,11,2,0.032,0.019,0.4,0.003
09-01-14,22,3,0.040,0.017,0.4,0.003
09-01-15,18,8,0.054,0.017,0.4,0.003
09-01-16,19,9,0.061,0.021,0.4,0.003
09-01-17,21,17,0.053,0.020,0.4,0.003
09-01-18,24,24,0.041,0.037,0.5,0.005
09-01-19,52,43,0.028,0.055,0.6,0.006
09-01-20,53,53,0.011,0.056,0.6,0.005
09-01-21,38,37,0.005,0.053,0.6,0.005
09-01-22,30,24,0.010,0.037,0.5,0.004
09-01-23,29,19,0.003,0.048,0.7,0.004
09-01-24,34,24,0.002,0.050,0.8,0.004
09-02-01,43,26,0.002,0.048,0.8,0.004
09-02-02,43,20,0.002,0.048,0.9,0.004
09-02-03,34,21,0.002,0.041,0.7,0.003
09-02-04,31,20,0.003,0.034,0.6,0.003
09-02-05,28,17,0.006,0.027,0.5,0.003
09-02-06,23,14,0.005,0.027,0.5,0.003
09-02-07,21,15,0.005,0.025,0.5,0.003
09-02-08,22,9,0.007,0.022,0.5,0.005
09-02-09,21,3,0.009,0.022,0.5,0.006
09-02-10,17,2,0.014,0.021,0.5,0.005
09-02-11,13,2,0.020,0.018,0.4,0.004
09-02-12,18,2,0.025,0.017,0.4,0.004
09-02-13,18,7,0.031,0.017,0.4,0.003
09-02-14,20,10,0.037,0.017,0.4,0.004
09-02-15,20,7,0.044,0.018,0.4,0.004
09-02-16,24,10,0.052,0.018,0.4,0.003
09-02-17,26,22,0.054,0.020,0.4,0.003
09-02-18,27,24,0.055,0.024,0.5,0.003
09-02-19,38,41,0.075,0.024,0.5,0.004
09-02-20,,,0.071,0.026,0.5,0.004
09-02-21,40,40,0.046,0.046,0.6,0.005
09-02-22,52,39,0.030,0.054,0.7,0.004
09-02-23,51,40,0.024,0.051,0.7,0.004
09-02-24,50,41,0.020,0.052,0.7,0.004
09-03-01,51,34,0.014,0.050,0.8,0.004
09-03-02,63,35,0.015,0.042,0.7,0.004
09-03-03,53,42,0.008,0.043,0.7,0.004
09-03-04,46,36,0.018,0.027,0.6,0.004
09-03-05,39,32,0.018,0.023,0.6,0.004
09-03-06,32,28,0.012,0.026,0.5,0.003
09-03-07,27,23,0.010,0.026,0.5,0.003
09-03-08,19,14,0.011,0.021,0.5,0.003
09-03-09,19,3,0.016,0.017,0.4,0.003
09-03-10,14,2,0.022,0.015,0.4,0.003
09-03-11,13,2,0.032,0.013,0.4,0.003
09-03-12,14,2,0.047,0.012,0.4,0.003
09-03-13,20,4,0.058,0.013,0.4,0.003
09-03-14,23,11,0.060,0.010,0.4,0.003
09-03-15,21,16,0.064,0.011,0.4,0.003
09-03-16,16,19,0.065,0.012,0.4,0.003
09-03-17,22,17,0.067,0.016,0.4,0.003
09-03-18,32,32,0.068,0.019,0.5,0.005
09-03-19,36,40,0.061,0.021,0.6,0.005
09-03-20,36,36,0.049,0.030,0.6,0.005
09-03-21,34,34,0.027,0.047,0.7,0.005
