DATE,PM10,PM2.5,O3,NO2,CO,SO2
11-01-01,47,26,0.007,0.045,0.6,0.003
11-01-02,46,22,0.005,0.047,0.6,0.003
11-01-03,47,26,0.006,0.044,0.6,0.003
11-01-04,40,25,0.013,0.035,0.6,0.003
11-01-05,38,24,0.010,0.037,0.6,0.003
11-01-06,40,21,0.008,0.042,0.6,0.003
11-01-07,36,17,0.002,0.052,0.6,0.003
11-01-08,36,20,0.003,0.053,0.7,0.003
11-01-09,37,18,0.006,0.051,0.6,0.003
11-01-10,44,15,0.005,0.054,0.7,0.003
11-01-11,51,20,0.011,0.050,0.7,0.004
11-01-12,50,19,0.017,0.045,0.7,0.004
11-01-13,54,21,0.027,0.033,0.7,0.004
11-01-14,43,18,0.038,0.022,0.5,0.004
11-01-15,38,12,0.043,0.020,0.5,0.004
11-01-16,41,13,0.045,0.019,0.5,0.004
11-01-17,45,16,0.040,0.025,0.5,0.004
11-01-18,51,33,0.025,0.039,0.6,0.004
11-01-19,45,30,0.026,0.034,0.6,0.003
11-01-20,52,25,0.030,0.029,0.6,0.003
11-01-21,49,21,0.031,0.025,0.5,0.003
11-01-22,44,21,0.025,0.030,0.6,0.003
11-01-23,43,15,0.014,0.041,0.6,0.003
11-01-24,43,23,0.016,0.037,0.6,0.003
11-02-01,43,29,0.019,0.032,0.6,0.003
11-02-02,53,28,0.011,0.037,0.7,0.003
11-02-03,51,31,0.011,0.035,0.6,0.003
11-02-04,44,32,0.016,0.028,0.6,0.003
11-02-05,40,28,0.016,0.028,0.6,0.003
11-02-06,35,22,0.022,0.024,0.5,0.003
11-02-07,34,18,0.006,0.042,0.6,0.003
11-02-08,34,18,0.003,0.050,0.6,0.003
11-02-09,33,18,0.003,0.055,0.7,0.003
11-02-10,42,20,0.009,0.050,0.7,0.003
11-02-11,50,14,0.015,0.044,0.7,0.004
11-02-12,48,13,0.029,0.038,0.8,0.005
11-02-13,55,13,0.038,0.035,0.8,0.005
11-02-14,73,36,0.042,0.036,1.0,0.006
11-02-15,86,51,0.055,0.022,0.6,0.004
11-02-16,71,34,0.056,0.023,0.6,0.004
11-02-17,75,30,0.046,0.033,0.6,0.006
11-02-18,71,34,0.051,0.028,0.6,0.005
11-02-19,58,34,0.040,0.038,0.6,0.004
11-02-20,56,37,0.043,0.031,0.6,0.003
11-02-21,48,32,0.038,0.032,0.6,0.003
11-02-22,46,32,0.036,0.028,0.6,0.003
11-02-23,48,29,0.032,0.028,0.6,0.003
11-02-24,43,29,0.030,0.026,0.5,0.003
11-03-01,38,25,0.025,0.027,0.6,0.003
11-03-02,48,26,0.028,0.023,0.6,0.003
11-03-03,53,37,0.032,0.018,0.5,0.002
11-03-04,51,35,0.029,0.020,0.6,0.002
11-03-05,42,27,0.033,0.017,0.6,0.002
11-03-06,34,22,0.031,0.020,0.5,0.002
11-03-07,34,22,0.017,0.035,0.6,0.003
11-03-08,31,17,0.009,0.044,0.6,0.003
11-03-09,35,19,0.004,0.047,0.6,0.003
11-03-10,42,24,0.004,0.044,0.7,0.003
11-03-11,47,39,0.009,0.041,0.8,0.003
11-03-12,59,33,0.027,0.030,0.8,0.003
11-03-13,54,15,0.037,0.023,0.7,0.004
11-03-14,50,19,0.040,0.020,0.7,0.004
11-03-15,50,27,0.037,0.020,0.6,0.003
11-03-16,52,30,0.030,0.022,0.4,0.003
11-03-17,39,25,0.032,0.019,0.4,0.003
11-03-18,38,30,0.026,0.027,0.5,0.003
11-03-19,36,21,0.028,0.028,0.5,0.003
11-03-20,40,22,0.029,0.027,0.5,0.003
11-03-21,46,27,0.030,0.024,0.5,0.003
11-03-22,39,27,0.029,0.023,0.5,0.002
11-03-23,37,28,0.022,0.031,0.5,0.003
11-03-24,39,28,0.030,0.020,0.5,0.003
11-04-01,41,32,0.032,0.013,0.5,0.003
11-04-02,43,37,0.030,0.014,0.5,0.003
11-04-03,44,34,0.029,0.012,0.5,0.003
11-04-04,46,37,0.023,0.016,0.5,0.003
11-04-05,49,35,0.022,0.015,0.5,0.003
11-04-06,54,37,0.019,0.019,0.6,0.003
11-04-07,57,35,0.012,0.026,0.6,0.003
11-04-08,58,37,0.011,0.027,0.6,0.003
11-04-09,58,34,0.010,0.029,0.6,0.003
11-04-10,54,25,0.009,0.036,0.7,0.003
11-04-11,63,20,0.017,0.029,0.6,0.003
11-04-12,55,20,0.015,0.035,0.7,0.003
11-04-13,63,28,0.022,0.027,0.6,0.003
11-04-14,48,30,0.030,0.022,0.6,0.002
11-04-15,38,30,0.036,0.024,0.6,0.003
11-04-16,52,38,0.041,0.019,0.6,0.004
11-04-17,51,41,0.035,0.022,0.5,0.003
11-04-18,59,52,0.028,0.026,0.6,0.003
11-04-19,59,57,0.016,0.039,0.6,0.003
11-04-20,58,46,0.014,0.040,0.6,0.003
11-04-21,60,45,0.007,0.048,0.7,0.003
11-04-22,62,47,0.004,0.050,0.7,0.003
11-04-23,62,51,0.002,0.053,0.8,0.003
11-04-24,66,50,0.002,0.049,0.8,0.003
11-05-01,70,51,0.002,0.048,0.8,0.003
11-05-02,67,50,0.002,0.046,0.9,0.003
11-05-03,68,50,0.002,0.045,0.9,0.003
11-05-04,63,49,0.002,0.042,0.9,0.003
11-05-05,64,46,0.002,0.043,1.0,0.003
11-05-06,57,43,0.002,0.039,0.8,0.003
11-05-07,54,40,0.002,0.043,0.9,0.003
11-05-08,53,36,0.002,0.039,0.9,0.003
11-05-09,58,32,0.003,0.039,0.9,0.003
11-05-10,57,26,0.006,0.042,0.9,0.003
11-05-11,59,20,0.011,0.041,0.8,0.003
11-05-12,58,14,0.020,0.033,0.7,0.003
11-05-13,57,11,0.029,0.023,0.6,0.003
11-05-14,52,13,0.033,0.019,0.6,0.003
11-05-15,43,18,0.035,0.019,0.6,0.004
11-05-16,43,25,0.037,0.016,0.6,0.004
11-05-17,45,30,0.036,0.018,0.6,0.005
11-05-18,43,40,0.034,0.020,0.6,0.004
11-05-19,36,40,0.023,0.031,0.7,0.004
11-05-20,36,25,0.010,0.046,0.8,0.004
11-05-21,43,26,0.004,0.051,0.9,0.003
11-05-22,46,30,0.002,0.056,1.0,0.003
11-05-23,48,28,0.002,0.059,1.2,0.003
11-05-24,46,31,0.002,0.054,1.1,0.003
11-06-01,46,32,0.002,0.051,1.0,0.003
11-06-02,47,34,0.002,0.049,1.0,0.003
11-06-03,47,29,0.002,0.048,1.0,0.003
11-06-04,45,23,0.002,0.040,0.9,0.003
11-06-05,44,26,0.002,0.038,0.9,0.003
11-06-06,46,31,0.002,0.037,0.9,0.003
11-06-07,49,32,0.002,0.040,0.9,0.003
11-06-08,52,31,0.002,0.045,1.0,0.003
11-06-09,56,27,0.003,0.043,0.9,0.003
11-06-10,48,19,0.008,0.039,0.8,0.004
11-06-11,38,8,0.014,0.041,0.8,0.005
11-06-12,37,4,0.024,0.036,0.8,0.005
11-06-13,39,12,0.035,0.021,0.6,0.004
11-06-14,29,12,0.038,0.021,0.6,0.004
11-06-15,29,15,0.035,0.028,0.6,0.004
11-06-16,36,20,0.034,0.031,0.6,0.004
11-06-17,45,32,0.029,0.037,0.6,0.004
11-06-18,58,39,0.025,0.039,0.6,0.004
11-06-19,45,30,0.009,0.056,0.7,0.004
11-06-20,41,21,0.010,0.053,0.6,0.004
11-06-21,35,19,0.003,0.061,0.8,0.004
11-06-22,35,22,0.002,0.064,0.9,0.004
11-06-23,40,26,0.002,0.068,1.1,0.004
11-06-24,46,33,0.002,0.059,0.9,0.003
11-07-01,47,31,0.003,0.050,0.8,0.003
11-07-02,52,28,0.007,0.041,0.7,0.003
11-07-03,48,32,0.003,0.046,0.7,0.003
11-07-04,44,27,0.012,0.033,0.7,0.003
11-07-05,40,26,0.016,0.027,0.7,0.003
11-07-06,35,22,0.009,0.035,0.7,0.003
11-07-07,35,23,0.004,0.038,0.7,0.003
11-07-08,37,25,0.002,0.044,0.7,0.003
11-07-09,37,22,0.003,0.047,0.8,0.003
11-07-10,39,,0.007,0.044,0.8,0.004
11-07-11,36,,0.010,0.044,0.7,0.004
11-07-12,39,,0.016,0.042,0.8,0.004
11-07-13,,,,,,
11-07-14,,,,,,
11-07-15,34,14,0.040,0.024,0.4,0.002
11-07-16,38,29,0.037,0.028,0.4,0.002
11-07-17,43,32,0.033,0.032,0.4,0.002
