DATE,PM10,PM2.5,O3,NO2,CO,SO2
04-01-01,89,47,0.002,0.089,1.3,0.007
04-01-02,99,48,0.002,0.084,1.2,0.008
04-01-03,91,48,0.002,0.077,1.0,0.009
04-01-04,74,34,0.002,0.072,1.0,0.006
04-01-05,69,36,0.002,0.068,1.0,0.005
04-01-06,71,30,0.002,0.079,1.2,0.005
04-01-07,80,34,0.002,0.085,1.2,0.005
04-01-08,91,31,0.002,0.094,1.3,0.006
04-01-09,124,34,0.003,0.087,1.2,0.006
04-01-10,129,17,0.006,0.083,1.0,0.008
04-01-11,97,9,0.013,0.071,0.9,0.008
04-01-12,86,15,0.024,0.064,0.8,0.007
04-01-13,68,16,0.039,0.046,0.7,0.005
04-01-14,65,20,0.058,0.025,0.6,0.006
04-01-15,64,17,0.070,0.030,0.6,0.006
04-01-16,90,35,0.061,0.035,0.7,0.008
04-01-17,70,24,0.051,0.040,0.6,0.008
04-01-18,65,25,0.047,0.038,0.6,0.010
04-01-19,65,29,0.030,0.060,0.7,0.013
04-01-20,82,34,0.010,0.082,0.8,0.011
04-01-21,78,29,0.008,0.080,0.8,0.013
04-01-22,87,33,0.003,0.084,0.8,0.016
04-01-23,91,34,0.002,0.083,0.9,0.023
04-01-24,90,32,0.002,0.084,0.9,0.033
04-02-01,100,34,0.002,0.081,0.9,0.021
04-02-02,102,48,0.002,0.074,1.0,0.011
04-02-03,96,50,0.002,0.068,0.9,0.009
04-02-04,84,41,0.002,0.071,0.9,0.008
04-02-05,78,39,0.002,0.071,1.0,0.007
04-02-06,76,38,0.002,0.072,1.0,0.007
04-02-07,83,37,0.002,0.071,1.0,0.006
04-02-08,71,28,0.002,0.082,1.1,0.008
04-02-09,75,23,0.004,0.089,1.1,0.010
04-02-10,100,23,0.009,0.084,0.9,0.010
04-02-11,86,14,0.042,0.048,0.7,0.009
04-02-12,86,17,0.062,0.035,0.6,0.007
04-02-13,77,21,0.061,0.037,0.6,0.006
04-02-14,75,28,0.062,0.039,0.7,0.008
04-02-15,98,28,0.073,0.025,0.7,0.007
04-02-16,99,36,0.078,0.022,0.7,0.007
04-02-17,83,34,0.074,0.020,0.6,0.006
04-02-18,66,38,0.071,0.023,0.6,0.006
04-02-19,74,40,0.066,0.027,0.7,0.005
04-02-20,68,37,0.066,0.020,0.7,0.004
04-02-21,77,39,0.061,0.022,0.7,0.005
04-02-22,78,39,0.042,0.037,0.8,0.006
04-02-23,103,47,0.034,0.039,0.8,0.006
04-02-24,112,53,0.033,0.032,0.8,0.011
04-03-01,120,54,0.032,0.031,0.8,0.011
04-03-02,132,66,0.033,0.026,0.8,0.007
04-03-03,112,62,0.042,0.015,0.8,0.005
04-03-04,104,55,0.036,0.018,0.8,0.004
04-03-05,103,58,0.019,0.028,0.8,0.004
04-03-06,101,52,0.010,0.036,0.8,0.004
04-03-07,90,47,0.005,0.046,0.9,0.004
04-03-08,94,45,0.006,0.048,0.9,0.005
04-03-09,102,35,0.019,0.033,0.8,0.005
04-03-10,109,30,0.024,0.032,0.8,0.004
04-03-11,76,30,0.027,0.033,0.8,0.004
04-03-12,66,27,0.030,0.031,0.8,0.003
04-03-13,59,35,0.033,0.025,0.8,0.003
04-03-14,52,24,0.033,0.024,0.7,0.002
04-03-15,34,18,0.031,0.026,0.7,0.003
04-03-16,31,10,0.036,0.020,0.6,0.003
04-03-17,32,18,0.031,0.024,0.6,0.003
04-03-18,32,23,0.029,0.023,0.6,0.002
04-03-19,23,11,0.017,0.037,0.7,0.002
04-03-20,23,10,0.023,0.028,0.6,0.002
04-03-21,25,14,0.026,0.023,0.6,0.002
04-03-22,25,16,0.010,0.041,0.7,0.002
04-03-23,29,13,0.017,0.033,0.6,0.002
04-03-24,18,10,0.025,0.023,0.6,0.002
04-04-01,21,8,0.011,0.037,0.6,0.002
04-04-02,22,14,0.005,0.044,0.6,0.002
04-04-03,21,14,0.013,0.035,0.6,0.002
04-04-04,21,10,0.017,0.029,0.6,0.002
04-04-05,17,10,0.021,0.024,0.5,0.002
04-04-06,18,9,0.010,0.035,0.6,0.002
04-04-07,23,13,0.004,0.042,0.6,0.002
04-04-08,14,8,0.006,0.043,0.7,0.002
04-04-09,20,6,0.012,0.037,0.6,0.003
04-04-10,22,2,0.019,0.031,0.6,0.003
04-04-11,14,2,0.032,0.022,0.5,0.003
04-04-12,18,4,0.036,0.017,0.5,0.003
04-04-13,17,5,0.040,0.015,0.5,0.002
04-04-14,19,7,0.039,0.019,0.5,0.002
04-04-15,26,13,0.034,0.029,0.5,0.003
04-04-16,46,15,0.034,0.033,0.6,0.004
04-04-17,38,14,0.036,0.033,0.6,0.004
04-04-18,39,25,0.032,0.037,0.5,0.004
04-04-19,38,20,0.020,0.044,0.6,0.005
04-04-20,33,18,0.015,0.044,0.6,0.007
04-04-21,32,16,0.021,0.036,0.6,0.008
04-04-22,37,13,0.030,0.031,0.6,0.006
04-04-23,42,15,0.032,0.034,0.6,0.004
04-04-24,41,21,0.022,0.034,0.6,0.003
04-05-01,54,14,0.019,0.030,0.6,0.003
04-05-02,57,21,0.027,0.022,0.5,0.003
04-05-03,49,21,0.032,0.018,0.5,0.004
04-05-04,47,18,0.030,0.019,0.5,0.004
04-05-05,49,18,0.026,0.023,0.5,0.005
04-05-06,46,17,0.016,0.034,0.6,0.005
04-05-07,54,20,0.007,0.047,0.6,0.005
04-05-08,58,15,0.010,0.046,0.6,0.005
04-05-09,60,20,0.017,0.039,0.6,0.006
04-05-10,49,,0.026,0.034,0.6,0.006
04-05-11,53,,0.032,0.033,0.6,0.006
04-05-12,,,,,,
04-05-13,,,,,,
04-05-14,48,11,0.054,0.018,0.5,0.005
04-05-15,52,15,0.054,0.019,0.5,0.004
04-05-16,57,9,0.051,0.020,0.5,0.004
04-05-17,52,19,0.050,0.023,0.5,0.004
04-05-18,62,24,0.050,0.019,0.5,0.004
04-05-19,56,26,0.044,0.023,0.5,0.004
04-05-20,55,25,0.039,0.028,0.5,0.005
04-05-21,54,15,0.038,0.029,0.5,0.004
04-05-22,54,14,0.030,0.034,0.5,0.004
04-05-23,48,19,0.030,0.031,0.5,0.004
04-05-24,48,13,0.027,0.032,0.5,0.004
04-06-01,52,14,0.026,0.033,0.5,0.005
04-06-02,48,18,0.016,0.041,0.5,0.004
04-06-03,66,25,0.005,0.050,0.6,0.004
04-06-04,65,28,0.003,0.051,0.6,0.004
04-06-05,60,30,0.002,0.053,0.6,0.004
04-06-06,67,27,0.002,0.057,0.7,0.004
04-06-07,69,23,0.002,0.057,0.7,0.004
04-06-08,65,20,0.002,0.061,0.7,0.005
04-06-09,56,14,0.007,0.061,0.7,0.008
04-06-10,60,,0.020,0.050,0.7,0.011
04-06-11,66,,0.030,0.049,0.9,0.013
04-06-12,70,23,0.040,0.041,0.8,0.010
04-06-13,68,26,0.052,0.026,0.6,0.008
04-06-14,57,25,0.054,0.023,0.6,0.006
04-06-15,70,25,0.054,0.028,0.6,0.005
04-06-16,76,31,0.064,0.028,0.6,0.005
04-06-17,83,36,0.063,0.032,0.6,0.005
04-06-18,70,37,0.039,0.053,0.7,0.004
04-06-19,66,36,0.021,0.068,0.9,0.004
04-06-20,78,38,0.035,0.049,0.8,0.008
04-06-21,79,41,0.033,0.044,0.6,0.010
04-06-22,71,36,0.029,0.041,0.7,0.006
04-06-23,55,28,0.014,0.054,0.8,0.004
04-06-24,57,26,0.024,0.034,0.7,0.003
04-07-01,52,28,0.034,0.019,0.6,0.002
04-07-02,45,25,0.037,0.013,0.6,0.002
04-07-03,37,26,0.038,0.010,0.6,0.002
04-07-04,31,15,0.036,0.012,0.6,0.002
04-07-05,23,20,0.036,0.012,0.5,0.002
04-07-06,29,17,0.025,0.023,0.6,0.002
04-07-07,18,9,0.021,0.030,0.6,0.002
04-07-08,22,13,0.008,0.045,0.7,0.002
04-07-09,20,8,0.009,0.048,0.7,0.002
04-07-10,17,9,0.022,0.034,0.6,0.002
04-07-11,11,2,0.031,0.026,0.6,0.003
04-07-12,7,2,0.034,0.023,0.5,0.003
04-07-13,20,10,0.034,0.027,0.6,0.003
04-07-14,23,9,0.049,0.027,0.6,0.004
04-07-15,59,25,0.062,0.020,0.7,0.005
