DATE,PM10,PM2.5,O3,NO2,CO,SO2
05-01-01,49,,0.017,0.039,0.4,0.003
05-01-02,50,,0.012,0.041,0.5,0.003
05-01-03,56,,0.017,0.032,0.5,0.003
05-01-04,48,,0.024,0.023,0.4,0.004
05-01-05,53,,0.015,0.031,0.4,0.004
05-01-06,54,,0.004,0.041,0.5,0.003
05-01-07,54,,0.007,0.041,0.5,0.004
05-01-08,59,,0.016,0.036,0.5,0.005
05-01-09,51,,0.028,0.027,0.5,0.007
05-01-10,54,,0.032,0.026,0.5,0.006
05-01-11,47,,0.040,0.025,0.5,0.005
05-01-12,41,,0.059,0.017,0.4,0.004
05-01-13,37,,0.070,0.015,0.4,0.004
05-01-14,38,,0.072,0.013,0.4,0.003
05-01-15,46,,0.066,0.016,0.4,0.005
05-01-16,35,,0.064,0.015,0.4,0.004
05-01-17,35,,0.062,0.016,0.4,0.004
05-01-18,32,,0.059,0.018,0.4,0.004
05-01-19,43,,0.050,0.029,0.4,0.007
05-01-20,48,,0.042,0.036,0.5,0.007
05-01-21,44,,0.040,0.031,0.6,0.006
05-01-22,51,,0.031,0.039,0.7,0.005
05-01-23,62,,0.026,0.039,0.6,0.005
05-01-24,68,,0.011,0.053,0.7,0.005
05-02-01,68,,0.010,0.051,0.7,0.004
05-02-02,67,,0.017,0.038,0.6,0.004
05-02-03,60,,0.008,0.046,0.7,0.004
05-02-04,56,,0.005,0.045,0.7,0.003
05-02-05,54,,0.006,0.041,0.7,0.003
05-02-06,60,,0.002,0.044,0.7,0.003
05-02-07,48,,0.003,0.048,0.7,0.004
05-02-08,55,,0.006,0.052,0.7,0.004
05-02-09,51,,0.029,0.041,0.6,0.006
05-02-10,66,,0.053,0.033,0.7,0.008
05-02-11,52,,0.060,0.028,0.5,0.005
05-02-12,57,,0.066,0.030,0.6,0.006
05-02-13,71,,0.083,0.025,0.7,0.006
05-02-14,84,,0.093,0.023,0.6,0.006
05-02-15,89,,0.095,0.020,0.6,0.006
05-02-16,100,,0.092,0.019,0.6,0.006
05-02-17,136,,0.077,0.021,0.8,0.007
05-02-18,104,,0.055,0.021,0.8,0.004
05-02-19,82,,0.045,0.024,0.8,0.005
05-02-20,103,,0.049,0.022,0.7,0.004
05-02-21,125,,0.051,0.018,0.6,0.003
05-02-22,113,,0.045,0.016,0.5,0.003
05-02-23,79,,0.038,0.014,0.5,0.003
05-02-24,40,,0.033,0.012,0.4,0.002
05-03-01,30,,0.030,0.011,0.4,0.002
05-03-02,36,,0.037,0.010,0.4,0.003
05-03-03,37,,0.036,0.010,0.4,0.003
05-03-04,16,,0.033,0.012,0.4,0.003
05-03-05,19,,0.030,0.014,0.4,0.003
05-03-06,21,,0.020,0.024,0.4,0.003
05-03-07,20,,0.016,0.030,0.4,0.003
05-03-08,21,,0.024,0.024,0.4,0.003
05-03-09,21,,0.025,0.025,0.4,0.003
05-03-10,26,,0.027,0.027,0.4,0.004
05-03-11,31,,0.033,0.021,0.4,0.005
05-03-12,27,,0.038,0.021,0.4,0.004
05-03-13,29,,0.043,0.018,0.4,0.004
05-03-14,22,,0.048,0.014,0.4,0.003
05-03-15,26,,0.052,0.013,0.4,0.004
05-03-16,35,,0.050,0.014,0.4,0.005
05-03-17,31,,0.052,0.014,0.4,0.004
05-03-18,33,,0.046,0.018,0.4,0.005
05-03-19,34,,0.044,0.018,0.4,0.003
05-03-20,43,,0.037,0.022,0.4,0.003
05-03-21,32,,0.036,0.022,0.4,0.004
05-03-22,30,,0.030,0.026,0.4,0.005
05-03-23,32,,0.019,0.036,0.4,0.005
05-03-24,36,,0.013,0.042,0.4,0.006
05-04-01,30,,0.005,0.045,0.5,0.005
05-04-02,32,,0.016,0.035,0.4,0.005
05-04-03,33,,0.010,0.040,0.5,0.005
05-04-04,36,,0.005,0.036,0.5,0.003
05-04-05,33,,0.004,0.037,0.5,0.004
05-04-06,33,,0.004,0.041,0.5,0.005
05-04-07,32,,0.009,0.037,0.6,0.006
05-04-08,26,,0.014,0.035,0.6,0.007
05-04-09,34,,0.021,0.030,0.6,0.007
05-04-10,32,,0.027,0.031,0.6,0.007
05-04-11,37,,0.043,0.023,0.5,0.006
05-04-12,51,,0.050,0.018,0.5,0.005
05-04-13,38,,0.059,0.011,0.4,0.005
05-04-14,37,,0.057,0.012,0.5,0.005
05-04-15,37,,0.057,0.011,0.5,0.006
05-04-16,44,,0.061,0.012,0.4,0.005
05-04-17,54,,0.059,0.011,0.4,0.004
05-04-18,42,,0.049,0.013,0.4,0.004
05-04-19,53,,0.046,0.012,0.4,0.003
05-04-20,63,,0.048,0.012,0.5,0.003
05-04-21,37,,0.041,0.016,0.5,0.003
05-04-22,43,,0.035,0.019,0.5,0.004
05-04-23,42,,0.035,0.018,0.5,0.004
05-04-24,43,,0.037,0.018,0.5,0.004
05-05-01,36,,0.047,0.010,0.5,0.003
05-05-02,47,,0.046,0.008,0.5,0.003
05-05-03,52,,0.041,0.009,0.5,0.003
05-05-04,35,,0.037,0.008,0.4,0.003
05-05-05,29,,0.035,0.007,0.4,0.003
05-05-06,20,,0.032,0.010,0.4,0.003
05-05-07,23,,0.027,0.015,0.4,0.003
05-05-08,25,,0.027,0.016,0.4,0.003
05-05-09,30,,0.033,0.011,0.4,0.003
05-05-10,33,,0.036,0.010,0.4,0.003
