DATE,PM10,PM2.5,O3,NO2,CO,SO2
08-01-01,31,16,0.002,0.019,0.5,0.003
08-01-02,39,22,0.003,0.016,0.4,0.003
08-01-03,35,24,0.002,0.016,0.4,0.003
08-01-04,40,26,0.002,0.017,0.4,0.003
08-01-05,42,24,0.002,0.018,0.5,0.003
08-01-06,34,27,0.002,0.018,0.5,0.003
08-01-07,37,29,0.002,0.018,0.5,0.003
08-01-08,38,24,0.002,0.018,0.5,0.003
08-01-09,45,22,0.004,0.017,0.5,0.003
08-01-10,39,14,0.010,0.017,0.6,0.004
08-01-11,31,17,0.016,0.017,0.6,0.005
08-01-12,31,16,0.025,0.016,0.5,0.004
08-01-13,33,26,0.036,0.015,0.5,0.005
08-01-14,38,27,0.044,0.016,0.5,0.005
08-01-15,47,38,0.047,0.016,0.5,0.006
08-01-16,43,24,0.038,0.015,0.5,0.005
08-01-17,38,23,0.028,0.020,0.5,0.004
08-01-18,28,18,0.025,0.018,0.4,0.003
08-01-19,23,17,0.010,0.024,0.5,0.005
08-01-20,27,22,0.003,0.026,0.5,0.004
08-01-21,27,16,0.002,0.026,0.5,0.004
08-01-22,25,16,0.002,0.026,0.5,0.003
08-01-23,17,13,0.002,0.025,0.6,0.003
08-01-24,21,13,0.002,0.025,0.6,0.003
08-02-01,17,3,0.002,0.021,0.5,0.003
08-02-02,25,14,0.002,0.021,0.5,0.003
08-02-03,32,17,0.002,0.031,0.6,0.003
08-02-04,32,21,0.002,0.021,0.5,0.003
08-02-05,34,19,0.002,0.018,0.5,0.003
08-02-06,28,16,0.002,0.019,0.5,0.003
08-02-07,24,10,0.002,0.021,0.6,0.003
08-02-08,31,22,0.002,0.021,0.6,0.003
08-02-09,26,11,0.003,0.033,0.7,0.003
08-02-10,40,22,0.003,0.033,0.7,0.003
08-02-11,36,18,0.005,0.032,0.6,0.003
08-02-12,29,20,0.009,0.026,0.5,0.003
08-02-13,21,5,0.009,0.031,0.6,0.003
08-02-14,30,17,0.010,0.033,0.6,0.002
08-02-15,42,21,0.014,0.034,0.6,0.003
08-02-16,39,21,0.015,0.033,0.6,0.003
08-02-17,39,28,0.012,0.033,0.6,0.003
08-02-18,42,20,0.014,0.031,0.6,0.003
08-02-19,34,23,0.019,0.033,0.5,0.003
08-02-20,13,,0.013,0.037,0.5,0.003
08-02-21,20,18,0.004,0.044,0.6,0.002
08-02-22,13,10,0.003,0.042,0.5,0.002
08-02-23,18,8,0.004,0.040,0.5,0.002
08-02-24,13,7,0.010,0.028,0.5,0.002
08-03-01,24,3,0.023,0.013,0.4,0.002
08-03-02,11,6,0.024,0.012,0.4,0.002
08-03-03,15,11,0.023,0.010,0.4,0.002
08-03-04,18,11,0.007,0.023,0.5,0.002
08-03-05,22,12,0.010,0.017,0.5,0.002
08-03-06,24,18,0.005,0.021,0.5,0.002
08-03-07,24,12,0.005,0.022,0.5,0.002
08-03-08,22,14,0.007,0.023,0.5,0.003
08-03-09,20,3,0.013,0.023,0.5,0.007
08-03-10,16,3,0.026,0.017,0.4,0.005
08-03-11,15,7,0.033,0.016,0.4,0.004
08-03-12,24,11,0.041,0.017,0.4,0.003
08-03-13,25,10,0.049,0.016,0.5,0.003
08-03-14,15,13,0.054,0.018,0.5,0.003
