DATE,PM10,PM2.5,O3,NO2,CO,SO2
07-01-01,38,12,0.030,0.007,0.4,0.002
07-01-02,35,18,0.027,0.009,0.5,0.004
07-01-03,41,27,0.028,0.008,0.5,0.004
07-01-04,28,20,0.030,0.005,0.4,0.003
07-01-05,22,14,0.028,0.005,0.4,0.002
07-01-06,21,16,0.021,0.011,0.4,0.002
07-01-07,26,13,0.012,0.021,0.5,0.002
07-01-08,14,9,0.012,0.023,0.4,0.002
07-01-09,16,8,0.011,0.025,0.4,0.002
07-01-10,19,5,0.013,0.024,0.4,0.002
07-01-11,21,6,0.014,0.023,0.4,0.002
07-01-12,17,9,0.018,0.020,0.4,0.002
07-01-13,22,14,0.016,0.022,0.5,0.002
07-01-14,31,10,0.010,0.029,0.6,0.002
07-01-15,24,10,0.009,0.028,0.5,0.002
07-01-16,12,,0.016,0.025,0.5,0.002
07-01-17,14,10,0.010,0.030,0.5,0.002
07-01-18,9,,0.008,0.033,0.5,0.002
07-01-19,8,,0.010,0.028,0.6,0.002
07-01-20,9,7,0.009,0.025,0.5,0.002
07-01-21,9,6,0.006,0.026,0.6,0.002
07-01-22,11,10,0.006,0.022,0.5,0.002
07-01-23,7,,0.010,0.015,0.5,0.002
07-01-24,7,5,0.022,0.006,0.4,0.002
07-02-01,8,,0.029,0.005,0.4,0.002
07-02-02,7,,0.032,0.004,0.4,0.002
07-02-03,12,9,0.030,0.005,0.4,0.002
07-02-04,9,3,0.030,0.003,0.4,0.002
07-02-05,20,9,0.027,0.005,0.4,0.002
07-02-06,12,5,0.023,0.007,0.4,0.002
07-02-07,9,,0.027,0.007,0.4,0.002
07-02-08,10,,0.025,0.014,0.4,0.003
07-02-09,8,3,0.027,0.014,0.4,0.002
07-02-10,6,2,0.033,0.010,0.4,0.002
07-02-11,12,4,0.032,0.011,0.5,0.002
07-02-12,9,2,0.035,0.012,0.4,0.002
07-02-13,24,16,0.037,0.015,0.4,0.003
07-02-14,23,12,0.038,0.012,0.4,0.003
07-02-15,13,6,0.044,0.009,0.4,0.003
07-02-16,26,18,0.044,0.011,0.4,0.003
07-02-17,18,15,0.043,0.012,0.4,0.003
07-02-18,21,17,0.043,0.014,0.5,0.003
07-02-19,26,24,0.038,0.018,0.5,0.004
07-02-20,23,15,0.033,0.016,0.5,0.003
07-02-21,17,13,0.028,0.019,0.5,0.003
07-02-22,15,9,0.022,0.023,0.5,0.005
07-02-23,20,12,0.015,0.027,0.5,0.004
07-02-24,16,11,0.016,0.022,0.5,0.003
07-03-01,19,8,0.019,0.016,0.5,0.004
07-03-02,22,8,0.027,0.006,0.4,0.003
07-03-03,21,13,0.031,0.003,0.4,0.002
07-03-04,24,12,0.034,0.003,0.4,0.002
07-03-05,21,19,0.036,0.003,0.5,0.002
07-03-06,28,21,0.038,0.004,0.5,0.002
07-03-07,31,18,0.040,0.005,0.5,0.002
07-03-08,31,18,0.048,0.006,0.5,0.002
07-03-09,34,23,0.051,0.008,0.6,0.003
07-03-10,43,26,0.047,0.012,0.6,0.004
07-03-11,49,30,0.052,0.013,0.7,0.006
07-03-12,55,40,0.053,0.012,0.6,0.005
07-03-13,55,39,0.053,0.014,0.7,0.006
07-03-14,58,43,0.053,0.014,0.7,0.006
07-03-15,54,43,0.053,0.015,0.7,0.006
07-03-16,49,33,0.054,0.017,0.7,0.005
07-03-17,41,28,0.054,0.014,0.7,0.004
07-03-18,34,25,0.048,0.014,0.6,0.003
07-03-19,31,25,0.041,0.013,0.5,0.002
07-03-20,34,27,0.035,0.014,0.5,0.002
07-03-21,26,,0.020,0.030,0.6,0.002
07-03-22,28,20,0.006,0.042,0.6,0.002
07-03-23,30,20,0.005,0.042,0.6,0.002
07-03-24,23,19,0.003,0.044,0.6,0.002
07-04-01,34,11,0.002,0.044,0.6,0.002
07-04-02,37,20,0.002,0.040,0.6,0.002
07-04-03,36,23,0.011,0.021,0.5,0.002
07-04-04,34,23,0.013,0.014,0.5,0.002
07-04-05,30,25,0.011,0.016,0.5,0.002
07-04-06,32,18,0.010,0.021,0.5,0.002
07-04-07,26,15,0.007,0.023,0.6,0.003
07-04-08,28,20,0.009,0.021,0.5,0.002
07-04-09,19,5,0.013,0.023,0.6,0.002
07-04-10,13,10,0.019,0.022,0.5,0.002
07-04-11,9,,0.023,0.021,0.5,0.002
07-04-12,11,4,0.025,0.019,0.5,0.002
07-04-13,6,5,0.025,0.019,0.5,0.002
07-04-14,13,11,0.018,0.025,0.5,0.002
07-04-15,7,2,0.013,0.030,0.6,0.002
07-04-16,7,4,0.008,0.035,0.5,0.002
07-04-17,7,5,0.004,0.038,0.6,0.002
07-04-18,16,2,0.004,0.035,0.7,0.002
07-04-19,16,10,0.007,0.029,0.6,0.002
07-04-20,17,11,0.004,0.032,0.6,0.002
07-04-21,11,9,0.003,0.030,0.6,0.002
07-04-22,8,,0.009,0.022,0.5,0.002
07-04-23,5,3,0.007,0.022,0.6,0.002
07-04-24,5,2,0.010,0.018,0.5,0.002
07-05-01,10,2,0.014,0.013,0.5,0.002
07-05-02,6,4,0.018,0.008,0.5,0.002
07-05-03,6,2,0.016,0.006,0.5,0.002
07-05-04,9,4,0.016,0.006,0.5,0.002
07-05-05,13,7,0.015,0.005,0.4,0.002
07-05-06,13,5,0.009,0.009,0.5,0.002
07-05-07,14,5,0.004,0.014,0.5,0.002
07-05-08,13,5,0.003,0.015,0.5,0.002
07-05-09,17,6,0.002,0.015,0.5,0.002
07-05-10,22,11,0.003,0.015,0.5,0.002
07-05-11,14,8,0.004,0.012,0.5,0.002
07-05-12,12,5,0.004,0.011,0.5,0.002
07-05-13,,,,,,
07-05-14,13,6,0.007,0.012,0.5,0.003
07-05-15,14,11,0.008,0.011,0.4,0.002
07-05-16,14,5,0.008,0.012,0.4,0.002
07-05-17,15,6,0.010,0.012,0.4,0.002
07-05-18,13,,0.010,0.013,0.4,0.002
07-05-19,20,11,0.014,0.011,0.4,0.002
07-05-20,14,,0.015,0.013,0.4,0.002
07-05-21,15,10,0.015,0.014,0.4,0.002
07-05-22,8,,0.007,0.020,0.5,0.002
07-05-23,15,9,0.008,0.022,0.5,0.002
07-05-24,11,9,0.022,0.013,0.5,0.002
07-06-01,15,4,0.023,0.017,0.4,0.003
07-06-02,17,5,0.031,0.008,0.4,0.003
07-06-03,14,9,0.034,0.004,0.4,0.002
07-06-04,14,9,0.033,0.004,0.4,0.002
07-06-05,11,7,0.030,0.006,0.4,0.002
07-06-06,16,6,0.029,0.007,0.4,0.002
07-06-07,14,6,0.023,0.016,0.4,0.002
07-06-08,15,6,0.019,0.021,0.4,0.002
07-06-09,12,5,0.020,0.019,0.5,0.002
07-06-10,11,2,0.023,0.017,0.4,0.002
07-06-11,9,2,0.026,0.016,0.4,0.002
07-06-12,19,2,0.033,0.012,0.4,0.002
07-06-13,16,10,0.047,0.014,0.5,0.002
07-06-14,20,10,0.060,0.014,0.5,0.003
07-06-15,43,30,0.063,0.019,0.7,0.008
07-06-16,55,39,0.051,0.026,0.7,0.008
07-06-17,37,26,0.042,0.028,0.6,0.005
07-06-18,26,,0.028,0.035,0.5,0.005
07-06-19,18,10,0.018,0.034,0.5,0.007
07-06-20,13,12,0.021,0.024,0.6,0.005
07-06-21,14,8,0.016,0.029,0.6,0.004
07-06-22,9,6,0.015,0.026,0.5,0.002
07-06-23,9,6,0.011,0.030,0.5,0.002
07-06-24,22,11,0.003,0.034,0.6,0.003
07-07-01,33,20,0.003,0.029,0.6,0.003
07-07-02,30,19,0.006,0.025,0.5,0.003
07-07-03,30,12,0.003,0.027,0.5,0.003
07-07-04,26,15,0.002,0.026,0.5,0.003
07-07-05,27,15,0.002,0.028,0.6,0.003
07-07-06,26,13,0.002,0.028,0.6,0.003
07-07-07,27,12,0.002,0.028,0.6,0.003
07-07-08,30,15,0.002,0.028,0.6,0.004
07-07-09,34,8,0.006,0.031,0.6,0.004
07-07-10,36,14,0.018,0.024,0.6,0.005
07-07-11,40,13,0.016,0.030,0.6,0.009
07-07-12,27,11,0.019,0.031,0.5,0.011
07-07-13,11,8,0.018,0.036,0.6,0.009
07-07-14,19,6,0.039,0.019,0.5,0.005
07-07-15,34,12,0.060,0.021,0.5,0.006
07-07-16,46,33,0.064,0.025,0.5,0.005
07-07-17,37,28,0.065,0.027,0.5,0.004
07-07-18,37,24,0.057,0.030,0.5,0.004
07-07-19,32,13,0.050,0.033,0.6,0.004
07-07-20,59,42,0.041,0.040,0.7,0.004
07-07-21,56,44,0.023,0.051,0.7,0.004
07-07-22,60,36,0.013,0.060,1.1,0.010
07-07-23,59,40,0.004,0.067,1.0,0.007
07-07-24,54,36,0.002,0.065,0.9,0.005
07-08-01,54,41,0.002,0.068,0.9,0.004
07-08-02,75,45,0.002,0.059,0.8,0.003
07-08-03,64,43,0.002,0.055,0.8,0.003
07-08-04,54,35,0.002,0.050,0.8,0.003
07-08-05,51,30,0.002,0.042,0.8,0.003
07-08-06,48,30,0.003,0.038,0.7,0.003
07-08-07,50,28,0.005,0.042,0.8,0.003
07-08-08,47,22,0.009,0.044,0.8,0.003
07-08-09,46,16,0.019,0.039,0.7,0.003
07-08-10,23,8,0.039,0.020,0.6,0.005
07-08-11,14,7,0.042,0.020,0.6,0.004
07-08-12,25,13,0.041,0.026,0.6,0.004
07-08-13,28,21,0.051,0.023,0.6,0.003
07-08-14,23,10,0.057,0.029,0.6,0.004
07-08-15,42,33,0.076,0.025,0.6,0.003
07-08-16,57,39,0.130,0.037,0.8,0.004
07-08-17,85,51,0.110,0.036,0.7,0.005
07-08-18,67,47,0.074,0.038,0.7,0.004
07-08-19,65,34,0.055,0.042,0.6,0.003
07-08-20,64,38,0.010,0.074,0.8,0.006
07-08-21,68,48,0.006,0.066,0.8,0.006
07-08-22,71,43,0.004,0.059,0.8,0.006
