DATE,PM10,PM2.5,O3,NO2,CO,SO2
06-01-01,25,20,0.053,0.005,0.6,0.002
06-01-02,16,20,0.054,0.004,0.5,0.002
06-01-03,17,19,0.054,0.005,0.5,0.002
06-01-04,24,15,0.055,0.004,0.5,0.002
06-01-05,,17,0.054,0.004,0.5,0.002
06-01-06,14,12,0.053,0.006,0.5,0.002
06-01-07,11,10,0.051,0.009,0.5,0.002
06-01-08,14,8,0.051,0.010,0.5,0.002
06-01-09,17,10,0.052,0.011,0.6,0.002
06-01-10,18,12,0.050,0.011,0.6,0.002
06-01-11,14,3,0.051,0.011,0.5,0.002
06-01-12,17,11,0.050,0.011,0.5,0.002
06-01-13,20,7,0.048,0.011,0.4,0.002
06-01-14,14,5,0.049,0.012,0.5,0.003
06-01-15,15,3,0.052,0.012,0.5,0.003
06-01-16,13,10,0.051,0.012,0.4,0.002
06-01-17,18,7,0.050,0.013,0.4,0.002
06-01-18,8,2,0.052,0.014,0.5,0.002
06-01-19,21,9,0.053,0.016,0.5,0.003
06-01-20,22,16,0.054,0.016,0.6,0.003
06-01-21,24,15,0.057,0.015,0.6,0.004
06-01-22,20,12,0.056,0.014,0.6,0.003
06-01-23,20,14,0.048,0.017,0.6,0.003
06-01-24,16,12,0.050,0.014,0.6,0.003
06-02-01,24,20,0.051,0.012,0.6,0.003
06-02-02,28,21,0.041,0.015,0.6,0.003
06-02-03,32,23,0.038,0.015,0.6,0.003
06-02-04,26,25,0.027,0.022,0.6,0.003
06-02-05,26,22,0.030,0.018,0.7,0.003
06-02-06,18,13,0.024,0.022,0.6,0.003
06-02-07,18,12,0.023,0.027,0.6,0.003
06-02-08,20,11,0.012,0.040,0.6,0.003
06-02-09,24,16,0.010,0.041,0.7,0.003
06-02-10,18,8,0.018,0.035,0.7,0.003
06-02-11,23,14,0.023,0.037,0.7,0.004
06-02-12,33,20,0.011,0.049,0.8,0.004
06-02-13,39,18,0.012,0.048,0.8,0.003
06-02-14,14,5,0.043,0.020,0.6,0.003
06-02-15,14,0,0.053,0.016,0.5,0.003
06-02-16,23,13,0.058,0.017,0.5,0.002
06-02-17,28,18,0.056,0.017,0.5,0.002
06-02-18,23,16,0.047,0.019,0.6,0.002
06-02-19,25,15,0.046,0.021,0.6,0.002
06-02-20,30,17,0.045,0.021,0.6,0.002
06-02-21,29,18,0.052,0.014,0.6,0.002
06-02-22,39,22,0.056,0.010,0.6,0.002
06-02-23,33,18,0.054,0.011,0.6,0.002
06-02-24,36,19,0.059,0.007,0.6,0.002
06-03-01,15,9,0.060,0.005,0.6,0.002
06-03-02,37,28,0.057,0.005,0.6,0.002
06-03-03,43,32,0.055,0.004,0.6,0.002
06-03-04,38,29,0.053,0.005,0.7,0.002
06-03-05,36,32,0.054,0.004,0.7,0.002
06-03-06,38,30,0.052,0.008,0.7,0.002
06-03-07,38,30,0.052,0.010,0.7,0.002
06-03-08,40,30,0.034,0.022,0.7,0.002
06-03-09,47,34,0.031,0.023,0.8,0.002
06-03-10,41,21,0.041,0.019,0.8,0.002
06-03-11,34,22,0.052,0.017,0.9,0.002
06-03-12,36,23,0.070,0.014,0.9,0.002
06-03-13,,,,,,
06-03-14,63,20,0.087,0.012,0.5,0.002
06-03-15,67,28,0.090,0.011,0.5,0.002
06-03-16,63,27,0.086,0.012,0.5,0.002
06-03-17,82,27,0.079,0.013,0.4,0.002
06-03-18,82,34,0.073,0.014,0.5,0.002
06-03-19,91,37,0.072,0.018,0.6,0.003
06-03-20,69,41,0.058,0.014,0.5,0.002
06-03-21,37,23,0.052,0.012,0.5,0.002
06-03-22,42,24,0.051,0.009,0.6,0.002
06-03-23,44,27,0.049,0.009,0.6,0.002
06-03-24,40,22,0.051,0.008,0.6,0.003
06-04-01,47,25,0.051,0.008,0.6,0.003
06-04-02,50,35,0.056,0.006,0.6,0.003
06-04-03,46,33,0.056,0.005,0.5,0.002
06-04-04,46,26,0.054,0.006,0.5,0.002
06-04-05,50,33,0.053,0.007,0.5,0.002
06-04-06,39,24,0.052,0.009,0.5,0.002
06-04-07,34,30,0.058,0.013,0.7,0.002
06-04-08,38,33,0.056,0.016,0.7,0.002
06-04-09,40,26,0.050,0.020,0.6,0.002
06-04-10,52,23,0.063,0.015,0.6,0.002
06-04-11,60,24,0.073,0.014,0.6,0.002
06-04-12,97,42,0.084,0.013,0.6,0.002
06-04-13,95,42,0.088,0.013,0.6,0.002
06-04-14,100,35,0.092,0.012,0.6,0.003
06-04-15,86,30,0.081,0.011,0.7,0.004
06-04-16,63,23,0.076,0.009,0.6,0.003
06-04-17,57,37,0.068,0.013,0.5,0.002
06-04-18,42,36,0.064,0.017,0.5,0.003
06-04-19,41,29,0.061,0.014,0.5,0.002
06-04-20,41,27,0.050,0.015,0.5,0.002
06-04-21,27,22,0.050,0.014,0.6,0.002
06-04-22,52,34,0.054,0.009,0.7,0.002
06-04-23,42,29,0.060,0.008,0.6,0.002
06-04-24,17,12,0.056,0.006,0.5,0.002
06-05-01,,20,0.047,0.007,0.5,0.002
06-05-02,20,19,0.054,0.005,0.5,0.002
06-05-03,18,18,0.050,0.004,0.4,0.002
06-05-04,18,14,0.054,0.004,0.5,0.002
06-05-05,20,18,0.062,0.004,0.5,0.002
06-05-06,38,26,0.062,0.006,0.7,0.002
06-05-07,47,35,0.058,0.010,0.7,0.002
06-05-08,51,36,0.056,0.013,0.7,0.002
06-05-09,48,27,0.052,0.019,0.6,0.002
06-05-10,49,25,0.046,0.025,0.6,0.002
06-05-11,48,24,0.054,0.020,0.6,0.002
06-05-12,49,24,0.059,0.024,0.7,0.002
06-05-13,54,35,0.074,0.021,0.6,0.002
06-05-14,64,32,0.086,0.020,0.6,0.002
06-05-15,69,32,0.096,0.021,0.6,0.002
06-05-16,67,38,0.110,0.020,0.6,0.002
06-05-17,68,40,0.120,0.021,0.6,0.002
06-05-18,72,50,0.114,0.022,0.7,0.003
06-05-19,86,70,0.100,0.028,0.9,0.003
06-05-20,70,61,0.093,0.023,0.7,0.003
06-05-21,77,46,0.077,0.039,0.8,0.003
06-05-22,105,65,0.066,0.037,0.8,0.003
06-05-23,76,46,0.050,0.027,0.7,0.002
06-05-24,40,21,0.047,0.020,0.6,0.002
06-06-01,55,42,0.048,0.018,0.6,0.002
06-06-02,60,50,0.045,0.017,0.6,0.002
06-06-03,62,40,0.042,0.016,0.6,0.002
06-06-04,56,36,0.032,0.020,0.6,0.002
06-06-05,52,36,0.029,0.022,0.7,0.002
06-06-06,71,46,0.016,0.032,0.7,0.002
06-06-07,59,36,0.021,0.028,0.8,0.002
06-06-08,68,47,0.034,0.028,0.8,0.002
06-06-09,79,22,0.051,0.020,0.7,0.002
06-06-10,56,14,0.060,0.017,0.7,0.002
06-06-11,53,22,0.078,0.012,0.6,0.002
06-06-12,74,32,0.085,0.013,0.6,0.002
06-06-13,74,39,0.095,0.011,0.7,0.002
06-06-14,69,32,0.099,0.010,0.6,0.002
06-06-15,69,49,0.100,0.010,0.6,0.002
06-06-16,78,41,0.101,0.009,0.6,0.002
06-06-17,74,44,0.107,0.014,0.6,0.002
06-06-18,105,66,0.117,0.022,0.9,0.003
06-06-19,102,68,0.101,0.026,1.0,0.005
06-06-20,107,72,0.101,0.025,1.0,0.005
06-06-21,104,70,0.105,0.019,1.0,0.004
06-06-22,114,60,0.098,0.015,1.0,0.004
06-06-23,114,69,0.097,0.012,0.9,0.004
06-06-24,84,81,0.091,0.012,0.8,0.004
06-07-01,81,79,0.064,0.010,0.8,0.004
06-07-02,77,55,0.053,0.009,0.7,0.003
06-07-03,55,43,0.051,0.009,0.7,0.003
06-07-04,36,25,0.054,0.007,0.7,0.003
06-07-05,34,27,0.057,0.007,0.7,0.003
06-07-06,42,30,0.058,0.007,0.7,0.002
06-07-07,39,30,0.060,0.006,0.6,0.002
06-07-08,28,20,0.061,0.006,0.6,0.002
06-07-09,34,24,0.059,0.007,0.6,0.002
06-07-10,37,20,0.058,0.008,0.6,0.002
06-07-11,33,21,0.058,0.007,0.6,0.002
06-07-12,45,14,0.064,0.008,0.6,0.002
06-07-13,51,18,0.075,0.007,0.6,0.002
06-07-14,58,25,0.078,0.008,0.6,0.002
06-07-15,61,21,0.080,0.006,0.6,0.002
06-07-16,58,27,0.079,0.008,0.5,0.002
06-07-17,62,33,0.082,0.008,0.5,0.002
06-07-18,63,41,0.077,0.008,0.6,0.003
06-07-19,72,48,0.074,0.008,0.6,0.003
06-07-20,72,39,0.064,0.010,0.6,0.003
06-07-21,62,33,0.054,0.015,0.7,0.004
06-07-22,58,34,0.044,0.015,0.7,0.003
06-07-23,46,32,0.036,0.017,0.7,0.003
06-07-24,44,20,0.030,0.018,0.7,0.003
06-08-01,46,38,0.029,0.013,0.6,0.002
06-08-02,53,38,0.040,0.006,0.7,0.002
06-08-03,51,44,0.035,0.008,0.8,0.002
06-08-04,63,50,0.033,0.008,0.9,0.002
06-08-05,55,43,0.031,0.009,0.9,0.003
06-08-06,58,47,0.027,0.011,0.8,0.003
06-08-07,56,41,0.022,0.015,0.8,0.003
06-08-08,50,34,0.018,0.021,0.8,0.003
06-08-09,33,27,0.029,0.021,0.7,0.002
06-08-10,24,17,0.047,0.015,0.6,0.002
06-08-11,37,10,0.053,0.014,0.6,0.003
06-08-12,36,24,0.060,0.016,0.6,0.003
06-08-13,50,24,0.078,0.016,0.6,0.003
06-08-14,51,27,0.088,0.018,0.6,0.003
06-08-15,55,22,0.099,0.018,0.6,0.003
06-08-16,68,47,0.112,0.017,0.6,0.003
06-08-17,68,45,0.107,0.016,0.6,0.003
06-08-18,58,41,0.083,0.020,0.6,0.004
06-08-19,61,36,0.060,0.031,0.9,0.007
06-08-20,66,45,0.052,0.029,0.6,0.004
06-08-21,42,21,0.040,0.034,0.6,0.004
06-08-22,41,20,0.024,0.041,0.7,0.003
06-08-23,42,27,0.015,0.045,0.7,0.003
06-08-24,44,19,0.013,0.043,0.7,0.003
06-09-01,48,39,0.014,0.039,0.7,0.003
06-09-02,46,27,0.016,0.036,0.7,0.003
06-09-03,47,31,0.020,0.028,0.6,0.003
06-09-04,48,27,0.018,0.029,0.6,0.003
06-09-05,50,31,0.012,0.033,0.6,0.003
06-09-06,53,30,0.011,0.032,0.6,0.003
06-09-07,43,28,0.007,0.039,0.7,0.003
06-09-08,41,22,0.011,0.041,0.8,0.003
06-09-09,34,23,0.021,0.037,0.8,0.003
06-09-10,35,15,0.031,0.033,0.7,0.003
06-09-11,,,,,,
06-09-12,,,,,,
06-09-13,,,,,,
06-09-14,65,29,0.105,0.025,0.6,0.003
06-09-15,85,45,0.143,0.022,0.6,0.004
06-09-16,90,50,0.155,0.025,0.6,0.004
06-09-17,76,53,0.120,0.025,0.5,0.004
06-09-18,78,47,0.092,0.029,0.5,0.003
06-09-19,78,38,0.074,0.031,0.6,0.003
06-09-20,72,35,0.050,0.040,0.6,0.003
06-09-21,73,35,0.030,0.047,0.7,0.004
06-09-22,60,34,0.024,0.046,0.7,0.004
06-09-23,59,31,0.020,0.043,0.6,0.003
06-09-24,57,31,0.023,0.036,0.6,0.004
06-10-01,59,33,0.026,0.030,0.6,0.004
06-10-02,57,31,0.026,0.029,0.6,0.004
06-10-03,56,34,0.028,0.024,0.6,0.003
06-10-04,52,33,0.028,0.022,0.6,0.003
06-10-05,60,35,0.020,0.028,0.6,0.003
06-10-06,48,30,0.017,0.033,0.5,0.003
06-10-07,50,24,0.017,0.037,0.6,0.003
06-10-08,42,22,0.019,0.043,0.6,0.003
06-10-09,44,23,0.033,0.038,0.6,0.003
06-10-10,53,28,0.056,0.030,0.6,0.003
06-10-11,64,34,0.083,0.021,0.6,0.004
06-10-12,62,36,0.082,0.016,0.6,0.004
06-10-13,52,25,0.094,0.013,0.5,0.003
06-10-14,52,25,0.101,0.012,0.5,0.003
06-10-15,40,23,0.094,0.011,0.5,0.003
06-10-16,31,20,0.089,0.012,0.4,0.003
06-10-17,50,33,0.099,0.019,0.5,0.004
06-10-18,54,29,0.064,0.029,0.6,0.004
06-10-19,50,30,0.026,0.032,0.5,0.003
06-10-20,28,22,0.024,0.024,0.5,0.003
06-10-21,49,24,0.025,0.019,0.5,0.002
06-10-22,32,23,0.028,0.016,0.6,0.002
06-10-23,28,17,0.023,0.019,0.6,0.002
06-10-24,29,25,0.018,0.020,0.6,0.002
06-11-01,35,36,0.017,0.018,0.6,0.002
06-11-02,30,33,0.019,0.013,0.5,0.002
06-11-03,32,26,0.014,0.017,0.5,0.002
06-11-04,27,23,0.015,0.016,0.5,0.002
06-11-05,20,21,0.020,0.012,0.5,0.002
06-11-06,26,20,0.017,0.013,0.5,0.002
06-11-07,30,16,0.011,0.020,0.5,0.002
06-11-08,28,20,0.015,0.021,0.6,0.002
06-11-09,26,22,0.022,0.022,0.6,0.002
06-11-10,23,17,0.030,0.019,0.5,0.002
06-11-11,24,14,0.043,0.014,0.5,0.002
06-11-12,20,15,0.056,0.012,0.5,0.002
06-11-13,20,16,0.072,0.009,0.5,0.002
06-11-14,21,20,0.083,0.010,0.5,0.002
06-11-15,56,12,0.092,0.013,0.5,0.002
06-11-16,35,24,0.103,0.015,0.5,0.003
06-11-17,43,38,0.092,0.018,0.5,0.003
06-11-18,48,30,0.064,0.020,0.5,0.003
06-11-19,42,22,0.049,0.017,0.5,0.002
06-11-20,38,21,0.051,0.011,0.5,0.002
06-11-21,33,18,0.046,0.014,0.5,0.003
06-11-22,31,16,0.039,0.015,0.5,0.004
06-11-23,22,14,0.036,0.016,0.5,0.002
06-11-24,20,19,0.026,0.020,0.5,0.002
06-12-01,25,15,0.026,0.016,0.5,0.003
06-12-02,23,18,0.028,0.013,0.5,0.003
06-12-03,30,19,0.026,0.013,0.5,0.002
06-12-04,36,30,0.020,0.016,0.5,0.002
06-12-05,35,26,0.021,0.014,0.5,0.002
06-12-06,31,26,0.020,0.016,0.6,0.003
06-12-07,30,18,0.014,0.022,0.6,0.003
06-12-08,27,15,0.010,0.027,0.6,0.003
06-12-09,35,22,0.010,0.035,0.7,0.003
06-12-10,42,27,0.011,0.039,0.7,0.003
06-12-11,46,25,0.016,0.040,0.8,0.003
06-12-12,48,24,0.030,0.039,0.8,0.004
06-12-13,47,23,0.054,0.027,0.7,0.003
06-12-14,44,13,0.069,0.019,0.6,0.005
06-12-15,69,29,0.082,0.021,0.8,0.007
06-12-16,85,31,0.068,0.027,0.7,0.005
06-12-17,71,33,0.065,0.038,0.8,0.009
06-12-18,95,55,0.074,0.046,0.8,0.008
06-12-19,66,34,0.052,0.047,0.7,0.005
06-12-20,56,35,0.040,0.044,0.7,0.005
06-12-21,48,37,0.035,0.031,0.7,0.004
06-12-22,58,34,0.012,0.044,0.8,0.004
06-12-23,59,37,0.003,0.045,0.8,0.003
06-12-24,61,41,0.005,0.038,0.7,0.003
06-13-01,70,56,0.003,0.038,0.8,0.003
06-13-02,90,71,0.005,0.032,0.8,0.003
06-13-03,75,52,0.002,0.040,0.8,0.003
06-13-04,54,32,0.002,0.046,0.9,0.003
06-13-05,47,34,0.005,0.037,0.9,0.004
06-13-06,45,35,0.004,0.040,0.9,0.004
06-13-07,39,29,0.009,0.039,0.8,0.004
06-13-08,53,31,0.018,0.038,0.8,0.004
06-13-09,74,31,0.038,0.032,0.8,0.004
06-13-10,77,34,0.067,0.025,0.7,0.004
06-13-11,64,32,0.088,0.020,0.7,0.003
06-13-12,34,20,0.096,0.012,0.6,0.003
06-13-13,36,25,0.102,0.015,0.6,0.003
06-13-14,42,27,0.102,0.015,0.6,0.003
06-13-15,37,36,0.094,0.015,0.5,0.002
06-13-16,25,27,0.077,0.011,0.5,0.002
06-13-17,27,23,0.074,0.013,0.5,0.002
06-13-18,28,25,0.068,0.016,0.6,0.002
06-13-19,16,10,0.072,0.015,0.6,0.002
06-13-20,51,39,0.108,0.016,0.7,0.003
06-13-21,60,47,0.107,0.014,0.8,0.004
06-13-22,63,40,0.098,0.014,0.8,0.004
06-13-23,54,37,0.079,0.020,0.8,0.003
06-13-24,82,61,0.076,0.013,0.8,0.002
06-14-01,71,63,0.083,0.007,0.7,0.002
06-14-02,54,50,0.079,0.006,0.7,0.002
06-14-03,50,42,0.078,0.006,0.7,0.002
06-14-04,44,37,0.073,0.006,0.7,0.002
06-14-05,38,23,0.058,0.005,0.7,0.002
06-14-06,24,20,0.052,0.005,0.6,0.002
06-14-07,26,22,0.054,0.007,0.6,0.002
06-14-08,38,32,0.056,0.007,0.6,0.002
06-14-09,31,29,0.068,0.010,0.6,0.002
06-14-10,47,47,0.097,0.013,0.8,0.003
06-14-11,52,40,0.089,0.011,0.7,0.003
06-14-12,22,13,0.070,0.010,0.6,0.003
06-14-13,27,13,0.070,0.008,0.5,0.003
06-14-14,47,11,0.069,0.008,0.4,0.003
06-14-15,44,11,0.061,0.008,0.4,0.002
06-14-16,24,6,0.056,0.008,0.4,0.002
06-14-17,24,10,0.062,0.008,0.4,0.002
06-14-18,24,14,0.062,0.008,0.5,0.002
06-14-19,34,14,0.062,0.008,0.5,0.002
06-14-20,33,22,0.063,0.008,0.5,0.003
06-14-21,44,30,0.064,0.007,0.5,0.002
06-14-22,29,30,0.066,0.007,0.5,0.002
06-14-23,21,22,0.064,0.007,0.5,0.002
06-14-24,19,21,0.068,0.006,0.5,0.002
06-15-01,21,17,0.066,0.007,0.5,0.002
06-15-02,35,31,0.063,0.007,0.5,0.002
06-15-03,35,24,0.063,0.006,0.5,0.002
06-15-04,28,24,0.056,0.008,0.6,0.003
06-15-05,34,26,0.049,0.010,0.6,0.003
06-15-06,25,16,0.048,0.011,0.6,0.003
06-15-07,25,19,0.042,0.018,0.6,0.003
