DATE,PM10,PM2.5,O3,NO2,CO,SO2
05-01-01,41,24,0.012,0.044,0.7,0.004
05-01-02,60,39,0.006,0.045,0.8,0.003
05-01-03,61,37,0.003,0.044,0.8,0.003
05-01-04,49,36,0.002,0.041,0.8,0.003
05-01-05,50,29,0.002,0.041,0.8,0.003
05-01-06,47,27,0.001,0.039,0.7,0.003
05-01-07,47,25,0.002,0.042,0.8,0.003
05-01-08,43,20,0.005,0.047,0.8,0.003
05-01-09,38,21,0.023,0.037,0.7,0.005
05-01-10,48,22,0.045,0.026,0.7,0.006
05-01-11,33,14,0.061,0.023,0.7,0.005
05-01-12,41,28,0.072,0.022,0.7,0.006
05-01-13,56,29,0.080,0.025,0.8,0.008
05-01-14,38,32,0.074,0.018,0.8,0.010
05-01-15,35,24,0.075,0.013,0.8,0.007
05-01-16,39,21,0.065,0.017,0.7,0.008
05-01-17,68,20,0.066,0.017,0.7,0.006
05-01-18,48,27,0.057,0.021,0.8,0.007
05-01-19,32,23,0.046,0.026,0.7,0.005
05-01-20,44,29,0.040,0.028,0.7,0.006
05-01-21,38,23,0.040,0.023,0.7,0.006
05-01-22,32,20,0.031,0.031,0.6,0.005
05-01-23,34,19,0.023,0.036,0.7,0.007
05-01-24,35,24,0.030,0.027,0.6,0.010
05-02-01,47,24,0.028,0.025,0.6,0.012
05-02-02,45,30,0.031,0.018,0.6,0.007
05-02-03,40,29,0.027,0.021,0.6,0.008
05-02-04,40,24,0.017,0.029,0.7,0.007
05-02-05,40,24,0.010,0.032,0.7,0.005
05-02-06,46,31,0.006,0.035,0.7,0.005
05-02-07,39,25,0.003,0.040,0.8,0.005
05-02-08,43,24,0.005,0.046,0.8,0.005
05-02-09,30,13,0.013,0.046,0.7,0.005
05-02-10,36,22,0.021,0.046,0.7,0.005
05-02-11,24,12,0.036,0.030,0.7,0.004
05-02-12,35,18,0.053,0.019,0.6,0.004
05-02-13,25,16,0.060,0.017,0.7,0.004
05-02-14,37,25,0.070,0.014,0.8,0.006
05-02-15,39,28,0.068,0.016,0.8,0.007
05-02-16,31,22,0.060,0.018,0.6,0.006
05-02-17,36,23,0.049,0.024,0.6,0.008
05-02-18,36,30,0.044,0.025,0.7,0.007
05-02-19,34,25,0.037,0.029,0.7,0.006
05-02-20,42,29,0.039,0.028,0.7,0.005
05-02-21,43,30,0.034,0.029,0.8,0.005
05-02-22,49,36,0.017,0.045,0.8,0.004
05-02-23,45,30,0.006,0.054,0.8,0.004
05-02-24,52,31,0.005,0.046,0.8,0.003
05-03-01,60,32,0.005,0.044,0.8,0.003
05-03-02,63,35,0.003,0.042,0.8,0.003
05-03-03,36,32,0.017,0.026,0.7,0.003
05-03-04,36,24,0.009,0.032,0.8,0.003
05-03-05,32,20,0.016,0.023,0.7,0.003
05-03-06,29,20,0.008,0.030,0.7,0.003
05-03-07,28,21,0.017,0.021,0.7,0.003
05-03-08,28,15,0.021,0.019,0.7,0.003
05-03-09,27,22,0.023,0.019,0.7,0.003
05-03-10,28,15,0.024,0.019,0.7,0.003
05-03-11,20,13,0.022,0.020,0.7,0.003
05-03-12,20,16,0.025,0.017,0.7,0.003
05-03-13,12,8,0.028,0.015,0.6,0.003
05-03-14,18,15,0.029,0.014,0.6,0.003
05-03-15,9,7,0.030,0.013,0.6,0.003
05-03-16,21,14,0.027,0.017,0.6,0.002
05-03-17,9,,0.027,0.018,0.6,0.002
05-03-18,12,9,0.025,0.019,0.7,0.002
05-03-19,8,5,0.015,0.029,0.7,0.002
05-03-20,12,9,0.007,0.040,0.8,0.002
05-03-21,16,12,0.008,0.038,0.8,0.003
05-03-22,27,16,0.012,0.033,0.7,0.003
05-03-23,27,14,0.014,0.030,0.7,0.003
05-03-24,23,14,0.019,0.022,0.6,0.004
05-04-01,24,10,0.026,0.015,0.6,0.004
05-04-02,28,15,0.030,0.010,0.6,0.003
05-04-03,28,19,0.030,0.008,0.6,0.002
05-04-04,26,15,0.029,0.007,0.5,0.002
05-04-05,23,13,0.029,0.008,0.5,0.002
05-04-06,29,14,0.026,0.010,0.5,0.002
05-04-07,16,9,0.020,0.018,0.6,0.002
05-04-08,31,16,0.020,0.025,0.6,0.002
05-04-09,41,14,0.023,0.024,0.7,0.004
05-04-10,44,21,0.024,0.028,0.7,0.005
05-04-11,56,10,0.031,0.026,0.6,0.005
05-04-12,67,14,0.039,0.025,0.5,0.004
05-04-13,84,20,0.044,0.021,0.6,0.004
05-04-14,76,13,0.045,0.017,0.5,0.003
05-04-15,70,9,0.042,0.018,0.5,0.003
