DATE,PM10,PM2.5,O3,NO2,CO,SO2
05-01-01,23,13,0.043,0.021,0.5,0.003
05-01-02,19,12,0.050,0.015,0.5,0.003
05-01-03,14,10,0.054,0.011,0.4,0.002
05-01-04,18,11,0.055,0.010,0.4,0.002
05-01-05,19,13,0.048,0.013,0.5,0.002
05-01-06,21,13,0.029,0.024,0.5,0.002
05-01-07,28,18,0.026,0.026,0.5,0.003
05-01-08,28,22,0.030,0.024,0.5,0.004
05-01-09,24,16,0.036,0.022,0.5,0.004
05-01-10,16,11,0.045,0.019,0.5,0.004
05-01-11,24,14,0.050,0.020,0.5,0.003
05-01-12,36,18,0.061,0.017,0.6,0.004
05-01-13,50,25,0.065,0.017,0.6,0.004
05-01-14,56,28,0.072,0.014,0.6,0.003
05-01-15,58,28,0.077,0.013,0.7,0.003
05-01-16,60,30,0.076,0.010,0.6,0.002
05-01-17,71,31,0.070,0.014,0.7,0.003
05-01-18,73,33,0.067,0.014,0.7,0.003
05-01-19,76,30,0.058,0.017,0.7,0.003
05-01-20,97,35,0.051,0.021,0.8,0.003
05-01-21,96,37,0.048,0.024,0.8,0.003
05-01-22,110,36,0.039,0.031,0.8,0.003
05-01-23,127,44,0.025,0.042,0.8,0.003
05-01-24,127,44,0.024,0.040,0.8,0.003
05-02-01,131,42,0.030,0.030,0.7,0.003
05-02-02,130,40,0.031,0.024,0.6,0.002
05-02-03,114,34,0.035,0.021,0.6,0.002
05-02-04,106,30,0.039,0.018,0.6,0.002
05-02-05,105,28,0.020,0.031,0.6,0.002
05-02-06,111,31,0.003,0.045,0.7,0.002
05-02-07,110,32,0.010,0.042,0.7,0.002
05-02-08,112,29,0.011,0.045,0.7,0.002
05-02-09,109,26,0.019,0.042,0.7,0.003
05-02-10,106,28,0.021,0.041,0.7,0.004
05-02-11,104,27,0.025,0.039,0.7,0.003
05-02-12,82,18,0.046,0.021,0.5,0.003
05-02-13,60,12,0.051,0.020,0.5,0.002
05-02-14,43,7,0.061,0.016,0.5,0.002
05-02-15,37,8,0.063,0.015,0.4,0.002
05-02-16,43,11,0.063,0.017,0.5,0.003
05-02-17,59,12,0.055,0.015,0.5,0.003
05-02-18,50,14,0.055,0.016,0.5,0.003
05-02-19,36,13,0.056,0.015,0.4,0.002
05-02-20,38,9,0.048,0.023,0.5,0.002
05-02-21,32,12,0.040,0.030,0.5,0.002
05-02-22,30,11,0.035,0.033,0.5,0.003
05-02-23,33,10,0.013,0.053,0.7,0.003
05-02-24,43,18,0.014,0.049,0.7,0.003
05-03-01,46,22,0.005,0.056,0.8,0.004
05-03-02,50,23,0.002,0.056,0.8,0.003
05-03-03,44,18,0.002,0.052,0.7,0.003
05-03-04,37,16,0.006,0.045,0.6,0.002
05-03-05,37,15,0.003,0.048,0.6,0.002
05-03-06,38,15,0.002,0.048,0.7,0.002
05-03-07,42,16,0.003,0.052,0.7,0.003
05-03-08,48,17,0.007,0.054,0.7,0.004
05-03-09,46,14,0.022,0.040,0.7,0.005
05-03-10,39,11,0.035,0.033,0.6,0.004
05-03-11,46,16,0.049,0.028,0.6,0.004
05-03-12,56,15,0.050,0.033,0.6,0.004
05-03-13,,,,,,
05-03-14,61,24,0.070,0.030,0.5,0.004
05-03-15,59,22,0.086,0.023,0.7,0.007
05-03-16,69,26,0.096,0.018,0.6,0.006
05-03-17,72,30,0.089,0.019,0.7,0.006
05-03-18,64,28,0.092,0.024,0.9,0.007
05-03-19,71,37,0.097,0.032,1.1,0.009
05-03-20,96,43,0.092,0.033,1.1,0.008
05-03-21,101,44,0.093,0.025,0.8,0.006
05-03-22,82,43,0.087,0.026,0.7,0.006
05-03-23,81,55,0.076,0.028,0.8,0.005
05-03-24,78,51,0.072,0.027,0.7,0.005
05-04-01,85,45,0.053,0.034,0.8,0.005
05-04-02,108,62,0.056,0.029,0.8,0.005
05-04-03,104,65,0.061,0.022,0.8,0.005
