DATE,PM10,PM2.5,O3,NO2,CO,SO2
02-01-01,18,,0.001,0.043,0.7,0.005
02-01-02,22,,0.001,0.043,0.7,0.005
02-01-03,34,,0.001,0.042,0.8,0.005
02-01-04,26,,0.001,0.036,0.7,0.005
02-01-05,31,,0.002,0.029,0.6,0.005
02-01-06,34,,0.004,0.029,0.6,0.005
02-01-07,29,,0.002,0.031,0.7,0.005
02-01-08,31,,0.001,0.033,0.7,0.006
02-01-09,30,,0.001,0.036,0.7,0.005
02-01-10,34,,0.001,0.038,0.7,0.005
02-01-11,35,,0.004,0.032,0.7,0.005
02-01-12,48,,0.007,0.031,0.7,0.006
02-01-13,49,,0.004,0.035,0.8,0.006
02-01-14,49,,0.002,0.038,0.8,0.007
02-01-15,54,,0.003,0.038,0.8,0.005
02-01-16,51,,0.002,0.042,0.9,0.005
02-01-17,43,,0.001,0.041,0.9,0.004
02-01-18,12,,0.001,0.043,0.9,0.005
02-01-19,12,,0.001,0.047,1.0,0.004
02-01-20,20,,0.004,0.042,1.0,0.004
02-01-21,20,,0.011,0.031,0.9,0.004
02-01-22,14,,0.012,0.026,0.9,0.004
02-01-23,21,,0.009,0.027,0.9,0.004
02-01-24,22,,0.004,0.038,0.9,0.004
02-02-01,24,,0.001,0.042,0.9,0.004
02-02-02,32,,0.001,0.036,0.9,0.004
02-02-03,30,,0.001,0.032,0.9,0.004
02-02-04,18,,0.002,0.028,0.9,0.004
02-02-05,12,,0.001,0.032,1.0,0.003
02-02-06,14,,0.001,0.036,1.0,0.003
02-02-07,11,,0.001,0.036,1.1,0.004
02-02-08,18,,0.001,0.036,1.1,0.004
02-02-09,18,,0.001,0.038,1.2,0.004
02-02-10,24,,0.001,0.036,1.1,0.004
02-02-11,18,,0.001,0.034,1.1,0.004
02-02-12,22,,0.001,0.033,1.0,0.005
02-02-13,28,,0.001,0.035,1.1,0.005
02-02-14,43,,0.001,0.037,1.1,0.005
02-02-15,31,,0.002,0.037,1.0,0.005
02-02-16,32,,0.008,0.032,1.0,0.005
02-02-17,23,,0.008,0.030,1.0,0.005
02-02-18,19,,0.009,0.027,1.0,0.004
02-02-19,21,,0.002,0.037,1.0,0.005
02-02-20,32,,0.001,0.039,1.0,0.005
