DATE,PM10,PM2.5,O3,NO2,CO,SO2
08-01-01,20,13,0.010,0.019,0.5,0.003
08-01-02,16,11,0.014,0.014,0.4,0.003
08-01-03,17,9,0.011,0.016,0.4,0.003
08-01-04,14,5,0.012,0.014,0.4,0.003
08-01-05,16,10,0.007,0.017,0.5,0.003
08-01-06,19,12,0.003,0.020,0.5,0.003
08-01-07,18,7,0.002,0.021,0.5,0.002
08-01-08,16,7,0.003,0.021,0.5,0.002
08-01-09,15,4,0.005,0.021,0.5,0.003
08-01-10,11,2,0.006,0.021,0.5,0.003
08-01-11,16,2,0.009,0.020,0.5,0.003
08-01-12,13,2,0.016,0.017,0.5,0.003
08-01-13,16,2,0.026,0.017,0.5,0.003
08-01-14,22,7,0.036,0.017,0.5,0.003
08-01-15,19,9,0.043,0.017,0.5,0.003
08-01-16,23,13,0.049,0.015,0.4,0.003
08-01-17,19,12,0.048,0.013,0.4,0.003
08-01-18,22,,0.049,0.017,0.4,0.003
08-01-19,21,20,0.046,0.023,0.5,0.003
08-01-20,28,29,0.044,0.028,0.5,0.003
08-01-21,36,,0.029,0.026,0.5,0.003
08-01-22,22,,0.017,0.037,0.6,0.005
08-01-23,25,22,0.013,0.040,0.6,0.007
08-01-24,28,23,0.002,0.047,0.7,0.005
08-02-01,34,24,0.002,0.045,0.7,0.005
08-02-02,39,16,0.002,0.044,0.7,0.004
08-02-03,37,20,0.002,0.038,0.7,0.003
08-02-04,38,24,0.002,0.034,0.7,0.003
08-02-05,38,26,0.002,0.031,0.6,0.003
08-02-06,40,26,0.002,0.031,0.6,0.003
08-02-07,40,25,0.002,0.032,0.6,0.003
08-02-08,40,19,0.007,0.026,0.6,0.005
08-02-09,28,4,0.013,0.023,0.5,0.004
08-02-10,21,2,0.022,0.021,0.5,0.003
08-02-11,21,2,0.039,0.018,0.5,0.003
08-02-12,21,11,0.060,0.013,0.5,0.003
08-02-13,22,12,0.070,0.012,0.5,0.003
08-02-14,29,18,0.076,0.012,0.5,0.003
08-02-15,28,26,0.082,0.014,0.5,0.003
08-02-16,31,30,0.079,0.023,0.5,0.003
08-02-17,38,29,0.070,0.028,0.5,0.003
08-02-18,51,46,0.053,0.032,0.6,0.003
08-02-19,37,37,0.015,0.067,0.9,0.003
08-02-20,26,13,0.030,0.057,0.8,0.002
08-02-21,38,27,0.006,0.079,1.0,0.003
08-02-22,50,32,0.008,0.060,0.8,0.003
08-02-23,38,28,0.009,0.047,0.7,0.003
08-02-24,37,25,0.003,0.048,0.7,0.003
08-03-01,35,22,0.013,0.037,0.7,0.003
08-03-02,43,31,0.021,0.024,0.6,0.004
08-03-03,54,40,0.021,0.014,0.5,0.003
08-03-04,33,27,0.015,0.015,0.5,0.003
08-03-05,28,20,0.012,0.015,0.5,0.003
08-03-06,25,20,0.015,0.014,0.5,0.003
08-03-07,17,13,0.015,0.014,0.5,0.003
08-03-08,14,6,0.019,0.012,0.5,0.003
08-03-09,13,6,0.023,0.012,0.4,0.003
08-03-10,8,5,0.030,0.012,0.4,0.003
08-03-11,9,2,0.036,0.012,0.4,0.003
08-03-12,16,2,0.043,0.011,0.4,0.003
08-03-13,19,4,0.048,0.011,0.4,0.003
08-03-14,17,5,0.050,0.012,0.4,0.003
08-03-15,23,19,0.048,0.015,0.4,0.003
08-03-16,27,14,0.042,0.016,0.4,0.003
08-03-17,18,7,0.045,0.011,0.4,0.003
08-03-18,16,13,0.041,0.014,0.4,0.003
08-03-19,18,12,0.036,0.016,0.4,0.003
08-03-20,21,,0.031,0.019,0.4,0.003
08-03-21,26,,0.022,0.025,0.5,0.003
08-03-22,17,,0.021,0.023,0.4,0.003
08-03-23,14,14,0.020,0.021,0.4,0.003
08-03-24,17,8,0.021,0.017,0.4,0.003
08-04-01,21,6,0.021,0.013,0.4,0.003
08-04-02,26,5,0.021,0.011,0.4,0.003
08-04-03,21,8,0.020,0.011,0.4,0.003
08-04-04,18,14,0.017,0.012,0.4,0.003
08-04-05,20,13,0.018,0.011,0.4,0.003
08-04-06,16,12,0.016,0.014,0.4,0.003
08-04-07,15,10,0.012,0.019,0.4,0.003
08-04-08,19,8,0.014,0.019,0.4,0.003
08-04-09,18,,0.022,0.014,0.4,0.003
08-04-10,16,,0.030,0.013,0.4,0.003
08-04-11,18,,0.042,0.013,0.4,0.003
08-04-12,,,,,,
08-04-13,,,,,,
08-04-14,32,18,0.060,0.014,0.4,0.003
08-04-15,34,21,0.065,0.015,0.4,0.003
08-04-16,33,15,0.070,0.016,0.4,0.003
08-04-17,39,33,0.060,0.018,0.4,0.003
08-04-18,39,41,0.050,0.020,0.4,0.003
08-04-19,42,43,0.045,0.025,0.4,0.003
08-04-20,34,,0.038,0.035,0.5,0.003
08-04-21,33,,0.043,0.032,0.5,0.003
08-04-22,38,,0.019,0.053,0.6,0.003
08-04-23,46,35,0.012,0.059,0.6,0.003
08-04-24,48,33,0.005,0.064,0.7,0.003
08-05-01,47,35,0.013,0.041,0.6,0.003
08-05-02,48,35,0.011,0.044,0.6,0.003
08-05-03,40,37,0.021,0.028,0.5,0.003
08-05-04,41,30,0.015,0.030,0.5,0.003
08-05-05,42,27,0.017,0.023,0.5,0.003
08-05-06,31,26,0.018,0.018,0.4,0.004
08-05-07,26,22,0.015,0.020,0.4,0.004
08-05-08,26,18,0.016,0.020,0.4,0.003
08-05-09,24,6,0.018,0.020,0.5,0.003
08-05-10,22,2,0.029,0.020,0.5,0.003
08-05-11,22,2,0.042,0.018,0.4,0.003
08-05-12,23,10,0.053,0.016,0.4,0.003
08-05-13,30,21,0.066,0.017,0.4,0.003
08-05-14,26,18,0.082,0.014,0.4,0.003
08-05-15,31,30,0.087,0.016,0.4,0.003
08-05-16,31,28,0.086,0.014,0.4,0.003
08-05-17,32,32,0.093,0.019,0.5,0.003
08-05-18,50,,0.094,0.020,0.5,0.003
08-05-19,37,32,0.064,0.029,0.5,0.003
08-05-20,26,23,0.050,0.032,0.5,0.003
08-05-21,34,31,0.035,0.038,0.6,0.003
08-05-22,34,27,0.024,0.042,0.6,0.003
08-05-23,36,25,0.009,0.055,0.6,0.003
08-05-24,36,28,0.005,0.054,0.7,0.003
08-06-01,29,24,0.027,0.024,0.5,0.003
08-06-02,29,20,0.031,0.015,0.5,0.003
08-06-03,33,27,0.024,0.014,0.5,0.003
08-06-04,29,25,0.020,0.010,0.4,0.003
08-06-05,24,20,0.018,0.009,0.4,0.003
08-06-06,20,16,0.013,0.013,0.4,0.003
08-06-07,20,16,0.011,0.014,0.4,0.003
08-06-08,23,17,0.008,0.017,0.4,0.003
08-06-09,23,13,0.006,0.019,0.4,0.003
08-06-10,26,18,0.010,0.019,0.5,0.003
08-06-11,26,,0.024,0.015,0.5,0.003
08-06-12,7,7,0.012,0.025,0.5,0.003
08-06-13,24,9,0.013,0.021,0.5,0.003
08-06-14,25,9,0.020,0.021,0.5,0.003
08-06-15,8,2,0.037,0.016,0.5,0.003
08-06-16,8,2,0.049,0.009,0.4,0.004
08-06-17,23,10,0.059,0.010,0.4,0.004
08-06-18,32,33,0.063,0.012,0.7,0.006
08-06-19,36,,0.052,0.018,0.8,0.008
08-06-20,33,,0.048,0.028,0.6,0.008
08-06-21,33,,0.042,0.028,0.6,0.005
08-06-22,43,41,0.034,0.029,0.6,0.005
08-06-23,46,34,0.025,0.032,0.6,0.005
08-06-24,43,32,0.024,0.024,0.6,0.005
08-07-01,39,32,0.027,0.017,0.5,0.006
08-07-02,40,31,0.029,0.010,0.5,0.005
08-07-03,45,37,0.031,0.008,0.4,0.004
08-07-04,36,33,0.027,0.010,0.4,0.005
08-07-05,30,29,0.024,0.009,0.4,0.004
08-07-06,29,24,0.015,0.014,0.4,0.003
08-07-07,33,22,0.011,0.017,0.4,0.004
08-07-08,37,27,0.013,0.017,0.5,0.004
08-07-09,31,14,0.018,0.016,0.5,0.004
08-07-10,27,8,0.018,0.020,0.5,0.004
08-07-11,27,6,0.029,0.018,0.5,0.003
08-07-12,30,10,0.042,0.018,0.5,0.003
08-07-13,35,23,0.067,0.017,0.5,0.003
08-07-14,42,30,0.086,0.015,0.5,0.003
08-07-15,44,36,0.072,0.011,0.5,0.003
08-07-16,43,33,0.070,0.013,0.5,0.004
08-07-17,44,33,0.060,0.015,0.6,0.005
08-07-18,45,42,0.055,0.019,0.7,0.006
08-07-19,38,37,0.048,0.029,0.6,0.006
08-07-20,36,32,0.052,0.028,0.6,0.007
08-07-21,32,27,0.050,0.025,0.5,0.004
08-07-22,28,22,0.055,0.015,0.5,0.003
08-07-23,28,18,0.040,0.023,0.5,0.003
08-07-24,32,19,0.038,0.018,0.5,0.004
08-08-01,35,20,0.039,0.016,0.5,0.004
08-08-02,37,20,0.040,0.012,0.5,0.004
08-08-03,40,26,0.037,0.013,0.5,0.004
08-08-04,38,25,0.033,0.014,0.5,0.004
08-08-05,39,25,0.019,0.021,0.5,0.005
08-08-06,42,32,0.020,0.019,0.5,0.005
08-08-07,36,29,0.025,0.021,0.5,0.005
08-08-08,36,25,0.027,0.022,0.5,0.005
08-08-09,34,12,0.038,0.023,0.6,0.004
08-08-10,40,13,0.056,0.016,0.6,0.004
08-08-11,48,26,0.060,0.021,0.6,0.003
08-08-12,52,36,0.074,0.017,0.6,0.003
08-08-13,49,39,0.086,0.015,0.6,0.003
08-08-14,48,36,0.094,0.014,0.6,0.003
