DATE,PM10,PM2.5,O3,NO2,CO,SO2
05-01-01,43,30,0.056,0.004,0.5,0.002
05-01-02,46,32,0.056,0.004,0.5,0.002
05-01-03,37,28,0.058,0.004,0.5,0.002
05-01-04,39,26,0.059,0.004,0.5,0.002
05-01-05,43,32,0.060,0.004,0.5,0.002
05-01-06,38,29,0.058,0.005,0.5,0.002
05-01-07,45,29,0.054,0.009,0.5,0.002
05-01-08,45,29,0.049,0.014,0.6,0.002
05-01-09,40,27,0.060,0.009,0.6,0.002
05-01-10,39,25,0.061,0.009,0.6,0.002
05-01-11,42,29,0.065,0.008,0.6,0.002
05-01-12,50,27,0.069,0.008,0.6,0.002
05-01-13,62,36,0.075,0.008,0.6,0.002
05-01-14,60,32,0.080,0.008,0.6,0.002
05-01-15,54,29,0.082,0.008,0.6,0.002
05-01-16,59,34,0.077,0.008,0.7,0.003
05-01-17,63,33,0.062,0.010,0.8,0.004
05-01-18,60,47,0.052,0.012,0.9,0.005
05-01-19,54,35,0.049,0.011,0.8,0.004
05-01-20,63,44,0.046,0.010,0.8,0.003
05-01-21,46,28,0.040,0.012,0.8,0.003
05-01-22,55,34,0.038,0.014,0.8,0.003
05-01-23,62,32,0.042,0.010,0.8,0.003
05-01-24,46,34,0.051,0.008,0.7,0.003
05-02-01,49,42,0.058,0.007,0.6,0.002
05-02-02,64,45,0.063,0.006,0.8,0.002
05-02-03,61,48,0.068,0.005,0.8,0.002
05-02-04,49,40,0.065,0.004,0.7,0.002
05-02-05,48,38,0.060,0.005,0.7,0.002
05-02-06,50,36,0.053,0.007,0.6,0.002
05-02-07,41,30,0.044,0.008,0.6,0.002
05-02-08,54,29,0.038,0.011,0.6,0.002
05-02-09,56,26,0.036,0.012,0.6,0.002
05-02-10,59,22,0.034,0.016,0.6,0.002
05-02-11,58,27,0.040,0.014,0.7,0.002
05-02-12,53,30,0.046,0.010,0.7,0.002
05-02-13,52,27,0.055,0.008,0.7,0.002
05-02-14,52,34,0.057,0.008,0.7,0.002
05-02-15,48,36,0.058,0.007,0.6,0.002
05-02-16,47,34,0.052,0.006,0.7,0.002
05-02-17,41,25,0.049,0.007,0.6,0.002
05-02-18,41,28,0.049,0.010,0.6,0.002
05-02-19,32,28,0.049,0.010,0.6,0.002
05-02-20,37,28,0.042,0.013,0.7,0.002
05-02-21,42,26,0.040,0.013,0.7,0.003
05-02-22,36,22,0.039,0.011,0.7,0.003
05-02-23,41,26,0.027,0.017,0.7,0.002
05-02-24,47,22,0.023,0.019,0.7,0.002
05-03-01,56,26,0.014,0.023,0.7,0.002
05-03-02,53,33,0.013,0.022,0.8,0.002
05-03-03,46,31,0.013,0.019,0.8,0.002
