DATE,PM10,PM2.5,O3,NO2,CO,SO2
12-01-01,78,27,0.001,0.061,1.2,0.004
12-01-02,60,33,0.001,0.060,1.4,0.004
12-01-03,54,39,0.001,0.055,1.4,0.004
12-01-04,49,31,0.001,0.050,1.3,0.003
12-01-05,48,32,0.001,0.044,1.0,0.003
12-01-06,46,31,0.001,0.044,1.0,0.003
12-01-07,48,29,0.001,0.043,0.9,0.003
12-01-08,49,30,0.001,0.045,1.0,0.003
12-01-09,54,33,0.001,0.056,1.2,0.004
12-01-10,64,31,0.003,0.045,1.0,0.004
12-01-11,57,27,0.005,0.035,0.9,0.004
12-01-12,55,30,0.006,0.036,0.9,0.005
12-01-13,58,31,0.009,0.035,0.8,0.006
12-01-14,60,36,0.012,0.034,0.8,0.005
12-01-15,50,29,0.014,0.034,0.6,0.004
12-01-16,43,18,0.015,0.036,0.6,0.003
12-01-17,32,31,0.006,0.047,0.6,0.003
12-01-18,59,34,0.001,0.061,1.0,0.004
12-01-19,74,40,0.002,0.060,1.0,0.004
12-01-20,72,36,0.001,0.056,1.1,0.003
12-01-21,73,37,0.001,0.063,1.4,0.004
12-01-22,73,35,0.001,0.061,1.3,0.004
12-01-23,64,34,0.001,0.061,1.2,0.004
12-01-24,64,31,0.001,0.061,1.2,0.004
12-02-01,80,43,0.001,0.059,1.3,0.004
12-02-02,90,48,0.001,0.064,1.5,0.004
12-02-03,66,38,0.003,0.041,0.9,0.004
12-02-04,62,40,0.001,0.043,1.0,0.004
12-02-05,58,38,0.004,0.038,0.9,0.004
12-02-06,65,37,0.001,0.043,0.8,0.004
12-02-07,69,39,0.001,0.046,0.9,0.004
12-02-08,54,31,0.002,0.046,1.0,0.004
12-02-09,45,31,0.001,0.050,1.0,0.004
12-02-10,43,28,0.002,0.048,0.9,0.003
12-02-11,38,24,0.002,0.052,0.9,0.003
12-02-12,34,20,0.003,0.048,0.8,0.003
12-02-13,,,,,,
12-02-14,38,32,0.002,0.045,1.0,0.004
12-02-15,52,31,0.003,0.039,1.1,0.005
12-02-16,77,46,0.006,0.039,1.2,0.007
12-02-17,89,44,0.012,0.040,1.1,0.005
12-02-18,79,48,0.010,0.043,1.1,0.004
12-02-19,98,48,0.012,0.039,1.1,0.005
12-02-20,74,38,0.013,0.034,0.9,0.004
12-02-21,52,26,0.015,0.030,0.8,0.004
12-02-22,48,25,0.013,0.029,0.7,0.003
12-02-23,26,6,0.022,0.015,0.5,0.003
12-02-24,11,2,0.024,0.012,0.4,0.003
12-03-01,20,5,0.025,0.009,0.5,0.003
12-03-02,16,3,0.022,0.011,0.6,0.002
12-03-03,12,7,0.021,0.010,0.5,0.002
12-03-04,10,8,0.021,0.010,0.5,0.003
12-03-05,10,6,0.018,0.012,0.6,0.003
12-03-06,12,10,0.012,0.020,0.6,0.003
12-03-07,14,6,0.008,0.026,0.6,0.003
12-03-08,8,,0.004,0.031,0.6,0.003
12-03-09,14,7,0.002,0.034,0.7,0.003
12-03-10,14,7,0.008,0.026,0.6,0.002
12-03-11,13,4,0.011,0.021,0.5,0.002
12-03-12,12,3,0.014,0.018,0.5,0.002
12-03-13,19,10,0.012,0.021,0.6,0.002
12-03-14,12,7,0.005,0.030,0.6,0.003
12-03-15,14,12,0.004,0.031,0.6,0.003
12-03-16,9,,0.006,0.028,0.6,0.003
12-03-17,14,8,0.008,0.026,0.6,0.003
12-03-18,21,13,0.011,0.024,0.6,0.003
12-03-19,27,20,0.014,0.025,0.7,0.003
12-03-20,39,33,0.019,0.020,0.6,0.003
12-03-21,42,30,0.019,0.018,0.6,0.004
12-03-22,38,33,0.014,0.024,0.6,0.004
12-03-23,41,23,0.016,0.021,0.6,0.004
12-03-24,41,34,0.016,0.019,0.7,0.004
12-04-01,46,33,0.017,0.017,0.6,0.004
12-04-02,48,35,0.019,0.014,0.6,0.004
12-04-03,48,32,0.019,0.014,0.6,0.004
12-04-04,44,27,0.020,0.011,0.6,0.004
12-04-05,40,20,0.019,0.013,0.6,0.003
12-04-06,40,22,0.010,0.023,0.6,0.003
12-04-07,42,24,0.004,0.033,0.6,0.004
12-04-08,38,20,0.002,0.036,0.7,0.004
12-04-09,45,18,0.003,0.043,0.8,0.004
12-04-10,50,21,0.006,0.040,0.8,0.004
12-04-11,42,17,0.009,0.037,0.7,0.004
12-04-12,55,15,0.010,0.035,0.7,0.004
12-04-13,50,24,0.010,0.037,0.7,0.005
12-04-14,61,27,0.010,0.036,0.7,0.005
12-04-15,54,27,0.008,0.035,0.7,0.004
12-04-16,48,19,0.007,0.037,0.7,0.003
12-04-17,34,15,0.004,0.039,0.7,0.004
12-04-18,51,27,0.001,0.045,0.8,0.004
12-04-19,45,21,0.001,0.050,0.9,0.005
12-04-20,64,32,0.001,0.053,1.1,0.005
12-04-21,64,30,0.002,0.056,1.2,0.004
12-04-22,57,26,0.001,0.052,1.1,0.004
12-04-23,60,28,0.001,0.053,1.2,0.004
12-04-24,62,28,0.001,0.050,1.1,0.004
12-05-01,51,41,0.001,0.048,1.0,0.004
12-05-02,51,30,0.001,0.041,0.9,0.003
12-05-03,46,21,0.001,0.037,0.8,0.003
12-05-04,39,24,0.001,0.038,0.9,0.003
12-05-05,45,25,0.001,0.037,0.9,0.003
12-05-06,38,21,0.001,0.039,1.0,0.003
12-05-07,38,21,0.001,0.040,1.1,0.003
12-05-08,38,22,0.001,0.045,1.2,0.004
12-05-09,45,28,0.002,0.055,1.2,0.004
12-05-10,57,31,0.003,0.057,1.3,0.005
12-05-11,39,14,0.013,0.030,0.7,0.006
12-05-12,30,7,0.021,0.021,0.7,0.005
12-05-13,25,9,0.026,0.018,0.6,0.004
12-05-14,31,10,0.026,0.019,0.6,0.004
12-05-15,31,16,0.025,0.021,0.6,0.004
12-05-16,35,16,0.024,0.023,0.6,0.004
12-05-17,28,18,0.020,0.028,0.6,0.004
12-05-18,28,20,0.006,0.045,0.7,0.004
12-05-19,27,17,0.004,0.051,0.7,0.004
12-05-20,27,16,0.002,0.054,0.8,0.004
12-05-21,25,12,0.004,0.046,0.7,0.004
12-05-22,26,14,0.009,0.037,0.7,0.004
12-05-23,28,16,0.008,0.037,0.8,0.004
12-05-24,33,16,0.010,0.033,0.7,0.004
12-06-01,33,18,0.012,0.029,0.7,0.004
12-06-02,32,19,0.014,0.024,0.7,0.004
12-06-03,36,16,0.020,0.017,0.7,0.005
12-06-04,30,20,0.017,0.019,0.7,0.006
12-06-05,32,18,0.019,0.016,0.7,0.005
12-06-06,33,17,0.018,0.017,0.7,0.005
12-06-07,33,17,0.011,0.025,0.7,0.007
12-06-08,30,18,0.003,0.042,0.8,0.005
12-06-09,46,23,0.002,0.047,0.9,0.004
12-06-10,51,30,0.003,0.045,0.9,0.005
12-06-11,40,22,0.010,0.035,0.8,0.006
12-06-12,38,14,0.010,0.038,0.8,0.005
12-06-13,42,17,0.015,0.030,0.7,0.005
12-06-14,35,14,0.014,0.033,0.7,0.005
12-06-15,36,16,0.013,0.038,0.7,0.004
12-06-16,42,22,0.010,0.041,0.7,0.004
12-06-17,50,31,0.006,0.045,0.7,0.004
12-06-18,34,20,0.002,0.052,0.7,0.004
12-06-19,46,30,0.002,0.058,0.9,0.005
12-06-20,54,32,0.002,0.061,1.1,0.005
12-06-21,51,29,0.002,0.055,0.9,0.006
12-06-22,44,30,0.001,0.056,1.0,0.005
12-06-23,60,26,0.002,0.060,1.2,0.004
12-06-24,56,30,0.002,0.061,1.3,0.004
12-07-01,62,33,0.001,0.054,1.2,0.004
12-07-02,64,40,0.001,0.052,1.2,0.004
12-07-03,59,40,0.001,0.051,1.3,0.004
12-07-04,52,32,0.001,0.055,1.2,0.004
12-07-05,43,23,0.001,0.056,1.2,0.006
12-07-06,44,26,0.001,0.049,1.1,0.008
12-07-07,45,22,0.001,0.047,1.0,0.005
12-07-08,40,26,0.001,0.048,1.0,0.004
12-07-09,44,24,0.002,0.054,1.2,0.004
12-07-10,52,31,0.002,0.060,1.3,0.004
12-07-11,47,17,0.003,0.056,1.2,0.005
12-07-12,45,19,0.004,0.056,1.1,0.005
12-07-13,75,48,0.003,0.070,1.3,0.006
12-07-14,64,37,0.005,0.060,1.1,0.005
12-07-15,74,41,0.005,0.069,1.0,0.008
12-07-16,97,59,0.004,0.070,1.0,0.007
12-07-17,99,43,0.003,0.062,0.9,0.006
12-07-18,61,23,0.003,0.056,0.8,0.005
12-07-19,42,14,0.002,0.056,0.8,0.004
12-07-20,37,18,0.002,0.058,0.8,0.004
12-07-21,38,16,0.004,0.052,0.8,0.004
12-07-22,46,22,0.002,0.054,0.9,0.004
12-07-23,47,22,0.001,0.057,0.9,0.004
12-07-24,44,21,0.001,0.057,1.0,0.004
12-08-01,63,26,0.001,0.052,1.0,0.003
12-08-02,67,43,0.001,0.050,1.1,0.003
12-08-03,66,43,0.001,0.050,1.2,0.003
12-08-04,64,42,0.001,0.048,1.2,0.003
12-08-05,62,39,0.001,0.047,1.1,0.003
12-08-06,53,31,0.001,0.054,1.3,0.004
12-08-07,60,36,0.001,0.054,1.2,0.004
12-08-08,58,33,0.001,0.070,1.5,0.004
12-08-09,67,42,0.002,,1.7,0.005
12-08-10,91,56,0.002,0.078,1.6,0.005
12-08-11,,,,,,
12-08-12,,,,,,
12-08-13,49,29,0.012,0.047,0.6,0.005
12-08-14,54,24,0.020,0.040,0.5,0.005
12-08-15,70,27,0.018,0.047,0.5,0.005
12-08-16,77,37,0.014,0.056,0.5,0.005
12-08-17,84,47,0.007,0.064,0.6,0.005
12-08-18,78,47,0.002,0.079,0.7,0.006
12-08-19,94,55,0.002,0.087,1.0,0.006
12-08-20,92,51,0.002,0.083,1.0,0.007
12-08-21,82,41,0.002,0.084,1.1,0.006
12-08-22,84,44,0.002,0.088,1.4,0.007
12-08-23,73,53,0.001,0.092,1.3,0.006
12-08-24,80,63,0.002,0.101,1.7,0.006
12-09-01,85,61,0.001,0.096,1.7,0.006
12-09-02,86,66,0.001,0.087,1.4,0.005
12-09-03,77,52,0.001,0.072,1.2,0.004
12-09-04,65,41,0.001,0.058,0.9,0.004
12-09-05,63,42,0.001,0.062,0.9,0.005
12-09-06,63,37,0.001,0.059,0.9,0.007
12-09-07,56,37,0.001,0.065,1.1,0.009
12-09-08,66,34,0.001,0.066,1.1,0.006
12-09-09,60,40,0.001,0.055,1.0,0.005
12-09-10,47,27,0.003,0.048,0.9,0.005
12-09-11,46,28,0.004,0.046,0.8,0.006
12-09-12,47,19,0.006,0.048,0.8,0.006
12-09-13,48,23,0.008,0.048,0.7,0.007
12-09-14,50,23,0.009,0.047,0.7,0.007
12-09-15,55,25,0.013,0.042,0.6,0.007
12-09-16,57,21,0.012,0.044,0.5,0.005
12-09-17,67,31,0.006,0.055,0.6,0.004
12-09-18,72,44,0.001,0.070,1.0,0.004
12-09-19,64,38,0.001,0.076,1.3,0.004
12-09-20,68,43,0.001,0.072,1.3,0.004
12-09-21,56,40,0.001,0.061,1.0,0.004
12-09-22,53,30,0.001,0.059,0.9,0.004
12-09-23,46,25,0.001,0.058,0.9,0.005
12-09-24,48,29,0.001,0.056,0.9,0.005
12-10-01,53,31,0.001,0.050,0.8,0.005
12-10-02,59,41,0.001,0.047,0.7,0.006
12-10-03,50,31,0.001,0.046,0.6,0.005
12-10-04,40,30,0.001,0.045,0.6,0.006
12-10-05,39,21,0.001,0.044,0.6,0.005
12-10-06,30,19,0.001,0.045,0.7,0.005
12-10-07,29,22,0.001,0.046,0.7,0.005
12-10-08,34,19,0.001,0.045,0.7,0.005
12-10-09,31,20,0.001,0.045,0.7,0.005
12-10-10,33,17,0.002,0.044,0.7,0.005
12-10-11,30,18,0.002,0.046,0.8,0.005
12-10-12,37,22,0.002,0.048,0.8,0.005
12-10-13,35,18,0.002,0.044,0.8,0.004
12-10-14,33,15,0.003,0.044,0.7,0.004
12-10-15,35,23,0.002,0.045,0.7,0.004
12-10-16,35,25,0.001,0.052,0.8,0.004
12-10-17,44,27,0.001,0.056,0.8,0.005
12-10-18,39,25,0.001,0.057,0.8,0.005
12-10-19,33,21,0.001,0.055,0.8,0.004
12-10-20,31,19,0.001,0.050,0.7,0.005
12-10-21,38,22,0.001,0.049,0.7,0.004
12-10-22,29,22,0.001,0.046,0.7,0.004
12-10-23,21,18,0.001,0.044,0.7,0.004
12-10-24,22,14,0.002,0.039,0.6,0.004
12-11-01,32,24,0.001,0.043,0.6,0.003
12-11-02,30,,0.001,0.043,0.7,0.003
12-11-03,33,23,0.001,0.039,0.7,0.003
12-11-04,32,26,0.001,0.037,0.7,0.003
12-11-05,32,27,0.001,0.036,0.6,0.003
12-11-06,31,25,0.001,0.038,0.7,0.003
12-11-07,36,26,0.001,0.042,0.7,0.003
12-11-08,38,25,0.001,0.050,0.8,0.003
12-11-09,40,28,0.001,0.058,1.0,0.004
12-11-10,52,28,0.002,0.067,1.2,0.004
12-11-11,61,32,0.011,0.045,1.0,0.005
