DATE,PM10,PM2.5,O3,NO2,CO,SO2
01-01-01,36,,0.007,0.039,0.7,0.002
01-01-02,36,,0.008,0.038,0.7,0.002
01-01-03,38,,0.008,0.035,0.7,0.002
01-01-04,37,,0.011,0.028,0.7,0.002
01-01-05,40,,0.005,0.036,0.8,0.002
01-01-06,44,,0.002,0.041,0.8,0.002
01-01-07,44,,0.003,0.040,0.9,0.002
01-01-08,47,,0.002,0.043,0.9,0.002
01-01-09,48,,0.003,0.043,1.0,0.002
01-01-10,47,,0.005,0.043,1.0,0.002
01-01-11,51,,0.009,0.040,0.9,0.002
01-01-12,45,,0.018,0.027,0.7,0.003
01-01-13,41,,0.022,0.023,0.7,0.003
01-01-14,44,,0.027,0.017,0.7,0.003
01-01-15,40,,0.028,0.016,0.6,0.003
01-01-16,37,,0.028,0.017,0.6,0.002
01-01-17,34,,0.027,0.019,0.6,0.002
01-01-18,32,,0.026,0.021,0.6,0.002
01-01-19,31,,0.024,0.023,0.6,0.002
01-01-20,29,,0.019,0.028,0.6,0.002
01-01-21,28,,0.021,0.025,0.6,0.002
01-01-22,23,,0.020,0.026,0.6,0.002
01-01-23,24,,0.020,0.024,0.6,0.002
01-01-24,24,,0.022,0.022,0.6,0.002
01-02-01,24,,0.022,0.022,0.6,0.002
01-02-02,23,,0.019,0.023,0.6,0.002
01-02-03,28,,0.016,0.025,0.6,0.002
01-02-04,29,,0.010,0.032,0.7,0.002
01-02-05,28,,0.005,0.036,0.7,0.002
01-02-06,30,,0.004,0.039,0.7,0.002
01-02-07,32,,0.002,0.047,0.9,0.002
01-02-08,37,,0.002,0.051,1.1,0.002
01-02-09,42,,0.002,0.062,1.3,0.003
01-02-10,48,,0.003,0.062,1.4,0.003
01-02-11,54,,0.006,0.051,1.1,0.003
01-02-12,44,,0.012,0.038,0.9,0.004
01-02-13,38,,0.016,0.035,0.8,0.004
01-02-14,46,,0.013,0.045,0.9,0.004
01-02-15,55,,0.014,0.044,0.8,0.005
01-02-16,59,,0.015,0.040,0.8,0.004
01-02-17,47,,0.016,0.037,0.7,0.004
01-02-18,40,,0.010,0.045,0.7,0.003
01-02-19,33,,0.006,0.049,0.8,0.003
01-02-20,31,,0.002,0.057,0.9,0.003
01-02-21,31,,0.002,0.060,1.0,0.003
01-02-22,44,,0.002,0.061,1.0,0.003
01-02-23,49,,0.002,0.062,1.1,0.003
01-02-24,48,,0.002,0.055,1.0,0.003
01-03-01,53,,0.002,0.055,1.0,0.002
01-03-02,50,,0.002,0.056,1.1,0.002
01-03-03,48,,0.002,0.056,1.2,0.002
01-03-04,46,,0.002,0.047,0.9,0.002
01-03-05,33,,0.002,0.047,0.9,0.002
01-03-06,28,,0.002,0.045,0.8,0.002
