DATE,PM10,PM2.5,O3,NO2,CO,SO2
2021-01-01,29,19,0.014,0.027,0.8,0.002
2021-01-02,36,14,0.024,0.021,0.7,0.003
2021-01-03,44,19,0.02,0.022,0.8,0.003
2021-01-04,39,22,0.008,0.04,1,0.003
2021-01-05,28,15,0.02,0.026,0.8,0.003
2021-01-06,38,12,0.023,0.024,0.8,0.003
2021-01-07,41,11,0.025,0.015,0.7,0.003
2021-01-08,20,10,0.023,0.019,0.7,0.004
2021-01-09,25,16,0.017,0.027,0.9,0.004
2021-01-10,30,20,0.012,0.033,1,0.003
2021-01-11,42,30,0.003,0.053,1.2,0.003
2021-01-12,49,38,0.007,0.044,1.2,0.002
2021-01-13,91,37,0.009,0.043,1.1,0.003
2021-01-14,75,31,0.011,0.04,0.7,0.003
2021-01-15,74,33,0.016,0.037,0.7,0.002
2021-01-16,59,42,0.024,0.018,0.7,0.002
2021-01-17,20,12,0.027,0.015,0.5,0.003
2021-01-18,40,20,0.022,0.021,0.6,0.002
2021-01-19,31,14,0.011,0.037,0.6,0.002
2021-01-20,40,20,0.008,0.048,0.7,0.002
2021-01-21,44,25,0.003,0.052,0.8,0.003
2021-01-22,24,17,0.004,0.04,0.7,0.002
2021-01-23,8,6,0.03,0.018,0.6,0.002
2021-01-24,12,8,0.03,0.022,0.8,0.002
2021-01-25,24,15,0.012,0.04,0.8,0.002
2021-01-26,30,20,0.008,0.041,0.8,0.002
2021-01-27,44,22,0.015,0.036,0.6,0.003
2021-01-28,40,17,0.021,0.028,0.5,0.002
2021-01-29,26,11,0.028,0.018,0.3,0.002
2021-01-30,59,24,0.017,0.032,0.5,0.002
2021-01-31,57,25,0.022,0.03,0.6,0.002
