DATE,PM10,PM2.5,O3,NO2,CO,SO2
03-01-01,58,32,0.002,0.070,1.0,0.005
03-01-02,65,31,0.002,0.068,1.0,0.005
03-01-03,60,40,0.002,0.066,1.0,0.005
03-01-04,57,40,0.002,0.062,0.8,0.005
03-01-05,48,35,0.002,0.061,0.9,0.005
03-01-06,46,32,0.002,0.061,0.9,0.004
03-01-07,47,30,0.002,0.064,0.9,0.004
03-01-08,49,30,0.002,0.069,1.0,0.004
03-01-09,59,34,0.002,0.085,1.3,0.005
03-01-10,99,45,0.005,0.068,0.9,0.006
03-01-11,89,30,0.018,0.052,0.7,0.006
03-01-12,65,18,0.023,0.053,0.7,0.008
03-01-13,62,17,0.040,0.031,0.6,0.008
03-01-14,59,25,0.042,0.030,0.6,0.007
03-01-15,69,41,0.044,0.033,0.6,0.007
03-01-16,70,60,0.043,0.027,0.6,0.005
03-01-17,75,63,0.041,0.029,0.6,0.005
03-01-18,77,61,0.034,0.032,0.6,0.003
03-01-19,63,57,0.034,0.026,0.6,0.003
03-01-20,56,50,0.023,0.036,0.7,0.003
03-01-21,57,47,0.022,0.034,0.7,0.003
03-01-22,52,44,0.018,0.036,0.7,0.003
03-01-23,43,36,0.013,0.042,0.7,0.002
03-01-24,36,28,0.005,0.051,0.7,0.002
03-02-01,,26,0.009,0.042,0.8,0.002
03-02-02,,32,0.007,0.044,0.8,0.002
03-02-03,34,28,0.030,0.020,0.7,0.002
03-02-04,22,18,0.034,0.016,0.6,0.002
03-02-05,20,16,0.035,0.014,0.6,0.002
03-02-06,29,24,0.031,0.015,0.7,0.002
03-02-07,33,23,0.016,0.030,0.7,0.003
03-02-08,36,26,0.004,0.041,0.8,0.003
03-02-09,39,22,0.006,0.041,0.8,0.003
03-02-10,36,15,0.012,0.033,0.7,0.003
03-02-11,34,8,0.017,0.030,0.7,0.004
03-02-12,33,8,0.018,0.031,0.6,0.005
03-02-13,36,10,0.023,0.023,0.6,0.004
03-02-14,,,,,,
03-02-15,,,,,,
03-02-16,40,16,0.027,0.022,0.4,0.004
03-02-17,38,13,0.028,0.021,0.4,0.003
03-02-18,39,24,0.024,0.024,0.4,0.003
03-02-19,35,32,0.024,0.024,0.5,0.003
03-02-20,30,27,0.020,0.029,0.5,0.003
03-02-21,26,17,0.011,0.042,0.6,0.003
03-02-22,30,15,0.008,0.046,0.6,0.003
03-02-23,32,14,0.007,0.044,0.6,0.004
03-02-24,31,10,0.009,0.041,0.6,0.004
03-03-01,30,9,0.014,0.032,0.6,0.004
03-03-02,26,6,0.016,0.026,0.6,0.004
03-03-03,25,9,0.017,0.024,0.5,0.004
03-03-04,27,10,0.015,0.026,0.6,0.004
03-03-05,31,9,0.003,0.043,0.7,0.003
03-03-06,33,12,0.002,0.044,0.8,0.003
03-03-07,39,17,0.002,0.042,0.7,0.003
03-03-08,42,18,0.002,0.051,0.9,0.003
03-03-09,42,15,0.004,0.051,0.8,0.003
03-03-10,43,6,0.010,0.045,0.8,0.004
03-03-11,48,2,0.016,0.034,0.6,0.005
03-03-12,50,2,0.020,0.032,0.6,0.005
03-03-13,48,7,0.024,0.028,0.6,0.005
03-03-14,53,13,0.028,0.025,0.6,0.006
03-03-15,63,17,0.030,0.024,0.6,0.007
03-03-16,69,23,0.033,0.024,0.5,0.007
03-03-17,63,31,0.036,0.025,0.6,0.006
03-03-18,60,44,0.036,0.027,0.6,0.006
03-03-19,60,52,0.028,0.036,0.6,0.006
03-03-20,55,40,0.024,0.042,0.6,0.006
03-03-21,50,29,0.013,0.060,0.7,0.006
03-03-22,59,30,0.002,0.075,0.9,0.005
03-03-23,74,38,0.002,0.074,1.0,0.005
03-03-24,77,45,0.002,0.070,0.9,0.004
03-04-01,72,47,0.002,0.068,1.0,0.004
03-04-02,73,48,0.002,0.069,1.1,0.003
03-04-03,71,46,0.002,0.067,1.2,0.004
03-04-04,66,43,0.002,0.064,1.1,0.003
03-04-05,61,37,0.002,0.062,1.1,0.003
03-04-06,56,33,0.002,0.060,1.2,0.003
03-04-07,60,37,0.002,0.058,1.0,0.003
03-04-08,58,33,0.002,0.060,1.1,0.003
03-04-09,62,28,0.002,0.066,1.2,0.004
03-04-10,73,20,0.004,0.070,1.1,0.005
03-04-11,72,11,0.014,0.056,0.8,0.008
03-04-12,56,11,0.024,0.037,0.7,0.013
03-04-13,41,6,0.035,0.031,0.8,0.012
03-04-14,52,18,0.035,0.032,0.8,0.012
03-04-15,52,23,0.037,0.034,0.9,0.013
03-04-16,52,29,0.037,0.030,0.7,0.010
03-04-17,48,34,0.038,0.022,0.5,0.007
03-04-18,47,42,0.035,0.027,0.5,0.005
03-04-19,44,,0.025,0.042,0.7,0.010
03-04-20,52,47,0.014,0.056,0.8,0.013
03-04-21,55,38,0.006,0.061,0.8,0.014
03-04-22,52,37,0.012,0.047,0.7,0.006
03-04-23,46,28,0.007,0.052,0.7,0.009
03-04-24,46,33,0.005,0.053,0.8,0.010
03-05-01,44,29,0.007,0.047,0.8,0.008
03-05-02,50,34,0.007,0.046,0.8,0.006
03-05-03,53,37,0.005,0.047,0.8,0.005
03-05-04,53,34,0.002,0.048,0.8,0.004
03-05-05,46,32,0.002,0.048,0.9,0.004
03-05-06,44,32,0.002,0.048,0.9,0.004
03-05-07,53,34,0.002,0.047,1.0,0.004
03-05-08,57,38,0.002,0.050,1.1,0.004
03-05-09,60,39,0.002,0.053,1.2,0.004
03-05-10,86,44,0.003,0.055,1.2,0.004
03-05-11,94,38,0.007,0.054,1.1,0.006
03-05-12,83,33,0.013,0.052,0.9,0.006
03-05-13,77,38,0.032,0.031,0.7,0.007
03-05-14,57,24,0.035,0.026,0.7,0.007
03-05-15,60,36,0.042,0.021,0.7,0.007
