DATE,PM10,PM2.5,O3,NO2,CO,SO2
12-01-01,30,20,0.006,0.042,0.6,0.003
12-01-02,32,19,0.016,0.029,0.5,0.003
12-01-03,28,16,0.006,0.039,0.6,0.002
12-01-04,30,16,0.013,0.031,0.5,0.002
12-01-05,21,8,0.024,0.020,0.5,0.002
12-01-06,38,16,0.018,0.023,0.5,0.002
12-01-07,34,13,0.003,0.040,0.5,0.003
12-01-08,34,18,0.003,0.042,0.6,0.003
12-01-09,34,17,0.005,0.043,0.6,0.003
12-01-10,40,19,0.007,0.042,0.6,0.003
12-01-11,31,14,0.012,0.037,0.6,0.003
12-01-12,29,13,0.013,0.040,0.6,0.003
12-01-13,37,25,0.011,0.044,0.6,0.003
12-01-14,43,17,0.015,0.038,0.5,0.003
12-01-15,31,14,0.016,0.037,0.5,0.002
12-01-16,33,16,0.019,0.033,0.4,0.002
12-01-17,28,8,0.019,0.033,0.3,0.002
12-01-18,13,7,0.007,0.044,0.4,0.002
12-01-19,23,8,0.005,0.045,0.4,0.002
12-01-20,27,15,0.004,0.046,0.5,0.002
12-01-21,24,12,0.004,0.046,0.5,0.002
12-01-22,29,16,0.004,0.046,0.5,0.002
12-01-23,27,14,0.002,0.050,0.6,0.002
12-01-24,30,14,0.002,0.049,0.6,0.003
12-02-01,29,16,0.002,0.048,0.5,0.002
12-02-02,29,13,0.002,0.046,0.6,0.002
12-02-03,28,15,0.002,0.044,0.5,0.002
12-02-04,33,14,0.006,0.040,0.5,0.002
12-02-05,36,11,0.005,0.038,0.5,0.002
12-02-06,34,16,0.002,0.042,0.5,0.002
12-02-07,36,13,0.002,0.043,0.6,0.003
12-02-08,39,19,0.002,0.043,0.6,0.003
12-02-09,32,16,0.004,0.041,0.6,0.003
12-02-10,36,14,0.006,0.042,0.6,0.003
12-02-11,35,14,0.007,0.042,0.6,0.003
12-02-12,30,13,0.016,0.034,0.5,0.002
12-02-13,21,19,0.017,0.035,0.5,0.002
12-02-14,25,13,0.020,0.034,0.4,0.002
12-02-15,28,13,0.025,0.030,0.4,0.002
12-02-16,26,12,0.026,0.028,0.3,0.002
12-02-17,21,10,0.019,0.035,0.4,0.002
12-02-18,35,17,0.008,0.046,0.4,0.002
12-02-19,24,6,0.009,0.044,0.4,0.002
12-02-20,33,17,0.009,0.042,0.4,0.003
12-02-21,29,21,0.018,0.032,0.4,0.003
12-02-22,32,14,0.007,0.042,0.5,0.003
12-02-23,33,15,0.004,0.046,0.5,0.003
12-02-24,32,17,0.017,0.031,0.4,0.003
12-03-01,30,15,0.020,0.028,0.4,0.003
12-03-02,22,14,0.027,0.021,0.4,0.003
12-03-03,14,7,0.034,0.014,0.3,0.002
12-03-04,13,9,0.035,0.012,0.3,0.002
12-03-05,13,4,0.035,0.013,0.3,0.002
12-03-06,12,10,0.028,0.020,0.3,0.002
12-03-07,21,7,0.017,0.030,0.4,0.002
12-03-08,27,11,0.006,0.042,0.5,0.003
12-03-09,27,14,0.010,0.038,0.5,0.003
12-03-10,30,13,0.015,0.033,0.6,0.003
12-03-11,32,14,0.026,0.022,0.5,0.004
12-03-12,30,13,0.026,0.025,0.5,0.004
12-03-13,33,20,,,,
12-03-14,37,17,0.033,0.019,0.4,0.003
12-03-15,34,22,0.035,0.019,0.4,0.003
12-03-16,35,20,0.037,0.017,0.4,0.003
12-03-17,37,19,0.028,0.021,0.5,0.003
12-03-18,27,18,0.018,0.032,0.5,0.003
12-03-19,24,9,0.012,0.039,0.5,0.002
12-03-20,22,14,0.010,0.041,0.5,0.002
12-03-21,21,14,0.014,0.035,0.4,0.002
12-03-22,22,14,0.022,0.026,0.4,0.002
12-03-23,21,8,0.023,0.023,0.4,0.002
12-03-24,16,13,0.026,0.020,0.4,0.002
12-04-01,18,12,0.021,0.024,0.4,0.002
12-04-02,20,10,0.020,0.022,0.4,0.002
12-04-03,30,12,0.018,0.023,0.4,0.002
12-04-04,26,13,0.016,0.026,0.5,0.002
12-04-05,27,14,0.010,0.030,0.5,0.002
12-04-06,33,16,0.010,0.030,0.5,0.003
12-04-07,32,12,0.002,0.042,0.6,0.003
12-04-08,42,18,0.002,0.047,0.7,0.003
12-04-09,52,19,0.003,0.050,0.8,0.003
12-04-10,45,18,0.015,0.034,0.6,0.003
12-04-11,26,13,0.022,0.026,0.5,0.003
12-04-12,27,10,0.018,0.033,0.5,0.003
12-04-13,19,11,0.025,0.024,0.4,0.003
12-04-14,29,13,0.023,0.028,0.4,0.003
12-04-15,23,12,0.024,0.028,0.4,0.002
12-04-16,30,15,0.031,0.022,0.3,0.002
12-04-17,28,14,0.027,0.024,0.4,0.002
12-04-18,28,12,0.021,0.029,0.4,0.002
12-04-19,19,15,0.016,0.034,0.5,0.003
12-04-20,24,14,0.009,0.041,0.5,0.003
12-04-21,26,16,0.010,0.038,0.5,0.003
12-04-22,23,13,0.013,0.034,0.5,0.003
12-04-23,31,15,0.002,0.051,0.7,0.003
12-04-24,36,18,0.002,0.050,0.7,0.003
12-05-01,38,19,0.001,0.048,0.7,0.003
12-05-02,32,16,0.001,0.047,0.7,0.003
12-05-03,29,15,0.001,0.046,0.7,0.003
12-05-04,29,16,0.001,0.044,0.6,0.003
12-05-05,33,16,0.001,0.043,0.6,0.002
12-05-06,32,15,0.001,0.044,0.6,0.002
12-05-07,29,17,0.001,0.044,0.7,0.003
12-05-08,33,14,0.002,0.049,0.8,0.003
12-05-09,32,15,0.002,0.048,0.7,0.003
12-05-10,36,20,0.004,0.046,0.7,0.003
12-05-11,34,12,0.008,0.040,0.6,0.003
12-05-12,41,17,0.010,0.038,0.6,0.003
12-05-13,41,13,0.014,0.034,0.6,0.003
12-05-14,38,22,0.024,0.024,0.6,0.003
12-05-15,40,21,0.020,0.031,0.6,0.003
12-05-16,46,28,0.020,0.032,0.6,0.003
12-05-17,42,22,0.024,0.027,0.5,0.002
12-05-18,36,20,0.013,0.037,0.6,0.002
12-05-19,37,19,0.006,0.044,0.6,0.002
12-05-20,34,18,0.005,0.046,0.7,0.002
12-05-21,39,22,0.008,0.042,0.7,0.002
12-05-22,28,18,0.014,0.036,0.6,0.003
12-05-23,26,14,0.006,0.043,0.6,0.002
12-05-24,32,19,0.007,0.040,0.6,0.003
12-06-01,38,22,0.002,0.044,0.7,0.003
12-06-02,37,20,0.002,0.044,0.7,0.002
12-06-03,49,26,0.002,0.038,0.7,0.002
12-06-04,50,28,0.002,0.038,0.7,0.002
12-06-05,44,26,0.001,0.040,0.8,0.002
12-06-06,47,24,0.001,0.040,0.8,0.002
12-06-07,39,23,0.001,0.043,0.9,0.002
12-06-08,50,27,0.001,0.039,0.9,0.002
12-06-09,49,42,0.002,0.040,0.9,0.002
12-06-10,42,30,0.004,0.037,0.8,0.002
12-06-11,60,36,0.004,0.039,0.8,0.003
12-06-12,58,30,0.009,0.035,0.8,0.003
12-06-13,47,33,0.028,0.020,0.6,0.003
12-06-14,53,29,0.034,0.019,0.6,0.003
12-06-15,55,31,0.034,0.018,0.6,0.003
12-06-16,38,23,0.038,0.014,0.5,0.003
12-06-17,26,22,0.041,0.014,0.5,0.003
12-06-18,32,12,0.031,0.023,0.5,0.003
12-06-19,28,17,0.022,0.032,0.6,0.003
12-06-20,32,20,0.010,0.044,0.7,0.003
12-06-21,46,28,0.006,0.047,0.8,0.003
12-06-22,45,29,0.002,0.055,1.1,0.003
12-06-23,47,30,0.002,0.051,1.0,0.002
12-06-24,47,25,0.002,0.051,1.1,0.002
12-07-01,47,25,0.001,0.047,0.9,0.003
12-07-02,52,24,0.004,0.040,0.8,0.003
12-07-03,49,30,0.006,0.037,0.7,0.003
12-07-04,52,30,0.003,0.040,0.8,0.003
12-07-05,42,25,0.006,0.036,0.7,0.003
12-07-06,48,27,0.006,0.034,0.7,0.003
12-07-07,44,37,0.002,0.040,0.8,0.003
12-07-08,56,34,0.001,0.044,0.9,0.003
12-07-09,74,33,0.002,0.047,1.0,0.003
12-07-10,78,41,0.003,0.052,1.1,0.004
12-07-11,72,39,0.018,0.033,0.8,0.004
12-07-12,51,34,0.027,0.026,0.7,0.004
12-07-13,56,33,0.033,0.022,0.7,0.005
12-07-14,71,44,0.033,0.024,0.7,0.005
12-07-15,87,44,0.040,0.019,0.6,0.004
12-07-16,52,29,0.037,0.021,0.6,0.004
12-07-17,49,26,0.033,0.024,0.6,0.004
12-07-18,42,28,0.022,0.034,0.6,0.004
12-07-19,39,27,0.028,0.026,0.6,0.004
12-07-20,37,20,0.026,0.027,0.6,0.003
12-07-21,26,18,0.027,0.024,0.6,0.003
12-07-22,38,20,0.030,0.022,0.5,0.003
12-07-23,32,18,0.031,0.020,0.5,0.003
12-07-24,28,16,0.030,0.020,0.5,0.003
12-08-01,26,13,0.036,0.013,0.4,0.003
12-08-02,19,12,0.036,0.011,0.4,0.003
12-08-03,21,11,0.035,0.012,0.4,0.002
12-08-04,12,8,0.033,0.012,0.4,0.002
12-08-05,17,8,0.026,0.017,0.4,0.002
12-08-06,12,5,0.030,0.013,0.4,0.002
12-08-07,8,7,0.015,0.027,0.4,0.002
12-08-08,25,10,0.005,0.040,0.5,0.002
12-08-09,26,7,0.010,0.034,0.5,0.003
12-08-10,27,9,0.015,0.029,0.5,0.003
12-08-11,25,9,0.019,0.026,0.5,0.003
12-08-12,19,5,0.020,0.027,0.5,0.003
12-08-13,,24,0.023,0.025,0.5,0.003
12-08-14,25,12,0.023,0.025,0.5,0.003
12-08-15,22,11,0.030,0.020,0.4,0.002
12-08-16,19,7,0.026,0.023,0.4,0.002
