DATE,PM10,PM2.5,O3,NO2,CO,SO2
09-01-01,48,22,0.021,0.028,0.6,0.004
09-01-02,47,26,0.021,0.025,0.6,0.004
09-01-03,46,22,0.011,0.033,0.7,0.004
09-01-04,47,29,0.005,0.038,0.7,0.003
09-01-05,49,28,0.007,0.033,0.7,0.003
09-01-06,50,27,0.005,0.035,0.7,0.003
09-01-07,47,24,0.003,0.043,0.8,0.003
09-01-08,63,24,0.012,0.056,0.9,0.003
09-01-09,70,25,0.034,0.042,0.8,0.004
09-01-10,76,29,0.050,0.031,0.7,0.004
09-01-11,76,30,0.064,0.021,0.7,0.004
09-01-12,75,35,0.070,0.016,0.7,0.004
09-01-13,74,32,0.071,0.016,0.7,0.004
09-01-14,74,40,0.076,0.014,0.7,0.004
09-01-15,82,36,0.079,0.014,0.7,0.004
09-01-16,77,38,0.080,0.014,0.6,0.004
09-01-17,73,30,0.080,0.017,0.6,0.004
09-01-18,74,35,0.086,0.022,0.7,0.005
09-01-19,75,47,0.076,0.031,0.8,0.005
09-01-20,75,48,0.057,0.045,0.8,0.005
09-01-21,78,50,0.054,0.038,0.8,0.004
09-01-22,69,43,0.041,0.042,0.8,0.005
09-01-23,72,43,0.024,0.051,0.8,0.005
09-01-24,78,40,0.034,0.029,0.7,0.004
09-02-01,71,25,0.028,0.029,0.7,0.003
09-02-02,64,47,0.047,0.014,0.6,0.003
09-02-03,29,24,0.045,0.012,0.6,0.003
09-02-04,26,13,0.043,0.011,0.5,0.003
09-02-05,27,16,0.032,0.018,0.6,0.003
09-02-06,32,25,0.031,0.019,0.6,0.003
09-02-07,46,28,0.024,0.024,0.6,0.003
09-02-08,43,31,0.021,0.031,0.6,0.003
09-02-09,35,19,0.030,0.025,0.6,0.003
09-02-10,33,13,0.037,0.020,0.6,0.003
09-02-11,24,8,0.048,0.014,0.5,0.003
09-02-12,18,3,0.051,0.015,0.5,0.003
09-02-13,20,4,0.052,0.013,0.5,0.003
09-02-14,14,12,0.049,0.013,0.5,0.003
09-02-15,11,6,0.049,0.013,0.5,0.003
09-02-16,16,17,0.043,0.015,0.5,0.003
09-02-17,20,15,0.041,0.015,0.5,0.003
09-02-18,9,6,0.040,0.017,0.5,0.003
09-02-19,20,21,0.036,0.019,0.6,0.003
09-02-20,26,18,0.031,0.021,0.6,0.003
09-02-21,24,18,0.033,0.020,0.6,0.003
09-02-22,22,18,0.031,0.022,0.6,0.003
09-02-23,23,15,0.031,0.021,0.6,0.003
09-02-24,22,14,0.034,0.015,0.5,0.003
09-03-01,14,3,0.037,0.010,0.5,0.003
09-03-02,21,13,0.036,0.008,0.5,0.003
09-03-03,19,14,0.035,0.008,0.5,0.003
09-03-04,16,12,0.035,0.008,0.5,0.003
09-03-05,14,12,0.035,0.008,0.5,0.003
09-03-06,14,8,0.029,0.013,0.5,0.003
09-03-07,14,12,0.022,0.018,0.5,0.003
09-03-08,16,7,0.011,0.031,0.6,0.003
09-03-09,13,3,0.018,0.023,0.5,0.003
09-03-10,12,2,0.024,0.020,0.5,0.003
09-03-11,9,2,0.031,0.018,0.6,0.003
