DATE,PM10,PM2.5,O3,NO2,CO,SO2
02-01-01,48,17,0.040,0.015,0.5,0.002
02-01-02,44,20,0.041,0.013,0.5,0.002
02-01-03,50,16,0.040,0.013,0.5,0.002
02-01-04,40,16,0.031,0.017,0.5,0.002
02-01-05,30,12,0.022,0.025,0.5,0.002
02-01-06,29,10,0.007,0.039,0.6,0.002
02-01-07,24,13,0.002,0.042,0.6,0.002
02-01-08,39,14,0.001,0.058,0.8,0.002
02-01-09,45,17,0.002,0.056,0.9,0.003
02-01-10,46,20,0.005,0.045,0.7,0.002
02-01-11,47,24,0.008,0.038,0.6,0.002
02-01-12,54,27,0.022,0.030,0.6,0.002
02-01-13,61,21,0.034,0.020,0.6,0.002
02-01-14,78,40,0.035,0.022,0.7,0.003
02-01-15,93,50,0.035,0.023,0.8,0.003
02-01-16,110,50,0.031,0.022,0.7,0.002
02-01-17,96,53,0.026,0.027,0.7,0.002
02-01-18,98,44,0.026,0.027,0.7,0.002
02-01-19,119,62,0.031,0.030,0.9,0.002
02-01-20,131,68,0.030,0.025,0.9,0.002
02-01-21,122,72,0.025,0.024,1.0,0.002
02-01-22,120,86,0.020,0.028,0.9,0.002
02-01-23,94,59,0.029,0.022,0.7,0.002
02-01-24,53,34,0.038,0.015,0.6,0.002
02-02-01,52,33,0.037,0.014,0.5,0.002
02-02-02,40,29,0.037,0.012,0.4,0.003
02-02-03,21,17,0.036,0.010,0.4,0.003
02-02-04,21,11,0.038,0.008,0.4,0.002
02-02-05,13,10,0.040,0.008,0.3,0.002
02-02-06,14,7,0.036,0.012,0.3,0.002
02-02-07,15,11,0.028,0.020,0.4,0.002
02-02-08,20,8,0.023,0.025,0.4,0.002
02-02-09,28,10,0.024,0.025,0.4,0.002
02-02-10,31,13,0.028,0.021,0.4,0.002
02-02-11,23,10,0.032,0.020,0.4,0.002
02-02-12,32,10,0.034,0.016,0.4,0.002
02-02-13,38,7,0.037,0.015,0.3,0.002
02-02-14,29,17,0.038,0.015,0.4,0.003
02-02-15,41,19,0.037,0.016,0.4,0.003
02-02-16,47,20,0.036,0.015,0.4,0.003
02-02-17,45,23,0.033,0.017,0.4,0.003
02-02-18,38,19,0.029,0.019,0.4,0.003
02-02-19,40,15,0.029,0.020,0.4,0.003
02-02-20,29,16,0.029,0.018,0.5,0.003
02-02-21,39,17,0.028,0.018,0.5,0.003
02-02-22,46,16,0.026,0.020,0.5,0.003
02-02-23,44,20,0.021,0.023,0.5,0.002
02-02-24,62,15,0.031,0.014,0.4,0.002
02-03-01,29,14,0.037,0.009,0.4,0.003
02-03-02,27,9,0.036,0.010,0.4,0.003
02-03-03,26,14,0.036,0.010,0.4,0.003
02-03-04,34,13,0.030,0.012,0.4,0.003
02-03-05,33,17,0.030,0.012,0.4,0.003
02-03-06,34,11,0.024,0.017,0.4,0.003
02-03-07,28,19,0.014,0.028,0.5,0.003
02-03-08,30,16,0.013,0.030,0.5,0.003
02-03-09,40,18,0.005,0.050,0.6,0.003
02-03-10,47,28,0.014,0.037,0.5,0.003
02-03-11,40,18,0.020,0.032,0.5,0.003
02-03-12,41,20,0.022,0.030,0.5,0.004
02-03-13,32,18,0.028,0.023,0.5,0.004
02-03-14,42,25,0.031,0.025,0.5,0.004
02-03-15,42,21,0.036,0.020,0.5,0.005
02-03-16,38,23,0.032,0.024,0.5,0.004
02-03-17,51,24,0.028,0.031,0.5,0.003
02-03-18,44,18,0.026,0.026,0.6,0.003
02-03-19,39,26,0.018,0.032,0.6,0.002
02-03-20,34,18,0.020,0.031,0.6,0.002
02-03-21,38,23,0.025,0.026,0.5,0.002
02-03-22,31,20,0.028,0.023,0.5,0.002
02-03-23,48,19,0.027,0.020,0.5,0.002
02-03-24,38,21,0.029,0.018,0.5,0.002
02-04-01,26,20,0.031,0.015,0.5,0.002
02-04-02,34,17,0.028,0.019,0.6,0.002
02-04-03,36,21,0.038,0.012,0.5,0.002
02-04-04,32,25,0.035,0.012,0.5,0.003
02-04-05,25,13,0.038,0.011,0.4,0.003
