DATE,PM10,PM2.5,O3,NO2,CO,SO2
04-01-01,51,21,0.032,0.029,0.6,0.003
04-01-02,54,23,0.032,0.025,0.6,0.003
04-01-03,57,26,0.022,0.031,0.7,0.003
04-01-04,56,27,0.011,0.043,0.7,0.003
04-01-05,56,26,0.021,0.033,0.7,0.004
04-01-06,57,22,0.019,0.033,0.7,0.003
04-01-07,55,23,0.013,0.040,0.7,0.003
04-01-08,56,25,0.010,0.046,0.7,0.004
04-01-09,56,22,0.023,0.038,0.6,0.004
04-01-10,58,14,0.033,0.034,0.6,0.004
04-01-11,62,,0.045,0.024,0.6,0.004
04-01-12,68,23,0.044,0.022,0.6,0.004
04-01-13,63,25,0.045,0.020,0.6,0.003
04-01-14,60,26,0.047,0.017,0.6,0.003
04-01-15,74,36,0.047,0.016,0.6,0.003
04-01-16,90,39,0.046,0.015,0.6,0.003
04-01-17,95,42,0.042,0.017,0.6,0.003
04-01-18,100,50,0.036,0.022,0.8,0.004
04-01-19,103,62,0.037,0.019,0.8,0.004
04-01-20,102,54,0.036,0.018,0.7,0.003
04-01-21,91,43,0.030,0.022,0.7,0.003
04-01-22,91,49,0.033,0.019,0.7,0.003
04-01-23,99,39,0.032,0.019,0.7,0.003
04-01-24,93,38,0.027,0.025,0.7,0.003
04-02-01,84,34,0.017,0.033,0.8,0.003
04-02-02,81,33,0.027,0.021,0.7,0.003
04-02-03,81,35,0.035,0.013,0.6,0.003
04-02-04,75,36,0.018,0.026,0.7,0.003
04-02-05,69,35,0.009,0.030,0.7,0.002
04-02-06,66,32,0.003,0.039,0.8,0.003
04-02-07,66,31,0.003,0.053,1.0,0.003
04-02-08,71,30,0.004,0.055,0.9,0.003
04-02-09,69,23,0.005,0.054,0.8,0.004
04-02-10,79,20,0.015,0.044,0.7,0.004
04-02-11,75,,0.033,0.025,0.6,0.004
04-02-12,66,,0.042,0.019,0.6,0.004
04-02-13,74,,0.050,0.014,0.6,0.004
04-02-14,80,24,0.054,0.011,0.5,0.003
04-02-15,84,28,0.052,0.014,0.6,0.003
04-02-16,84,32,0.050,0.013,0.6,0.004
04-02-17,90,26,0.045,0.014,0.6,0.004
04-02-18,96,29,0.041,0.017,0.6,0.004
04-02-19,94,37,0.030,0.026,0.7,0.005
04-02-20,84,37,0.022,0.031,0.6,0.003
04-02-21,68,33,0.022,0.028,0.6,0.003
04-02-22,51,23,0.020,0.028,0.7,0.003
04-02-23,53,20,0.017,0.030,0.7,0.004
04-02-24,55,20,0.015,0.030,0.8,0.004
04-03-01,56,21,0.018,0.026,0.7,0.003
04-03-02,52,23,0.026,0.016,0.6,0.003
04-03-03,46,16,0.023,0.019,0.6,0.003
04-03-04,46,17,0.025,0.016,0.6,0.003
04-03-05,58,18,0.018,0.021,0.6,0.003
04-03-06,48,18,0.008,0.033,0.6,0.002
04-03-07,42,14,0.004,0.041,0.7,0.003
04-03-08,48,,0.004,0.045,0.7,0.003
04-03-09,52,,0.009,0.039,0.7,0.003
04-03-10,50,,0.018,0.030,0.6,0.003
04-03-11,56,,0.024,0.025,0.6,0.003
04-03-12,71,,0.029,0.023,0.6,0.004
04-03-13,75,,,,,
04-03-14,93,,,,,
04-03-15,101,,0.037,0.015,0.5,0.003
04-03-16,96,,0.033,0.020,0.5,0.004
04-03-17,83,,0.037,0.017,0.5,0.005
04-03-18,84,13,0.038,0.015,0.5,0.004
04-03-19,96,26,0.028,0.025,0.6,0.003
04-03-20,100,33,0.024,0.027,0.5,0.004
04-03-21,86,31,0.020,0.027,0.6,0.004
04-03-22,69,20,0.019,0.024,0.6,0.004
04-03-23,61,20,0.019,0.021,0.5,0.003
04-03-24,60,19,0.017,0.022,0.5,0.003
04-04-01,59,19,0.019,0.018,0.5,0.003
04-04-02,70,21,0.020,0.015,0.5,0.003
04-04-03,65,25,0.019,0.015,0.5,0.002
04-04-04,45,23,0.020,0.014,0.5,0.002
04-04-05,22,16,0.024,0.011,0.6,0.002
04-04-06,11,13,0.022,0.013,0.5,0.002
04-04-07,3,7,0.011,0.022,0.6,0.002
04-04-08,3,2,0.015,0.021,0.5,0.002
04-04-09,4,1,0.013,0.027,0.6,0.002
04-04-10,5,1,0.013,0.030,0.6,0.002
04-04-11,10,2,0.017,0.026,0.5,0.002
04-04-12,9,1,0.024,0.019,0.5,0.002
04-04-13,10,1,0.031,0.015,0.5,0.002
04-04-14,6,1,0.036,0.012,0.5,0.002
04-04-15,7,1,0.033,0.013,0.5,0.002
04-04-16,10,3,0.032,0.014,0.5,0.002
04-04-17,16,,0.030,0.016,0.5,0.002
04-04-18,15,,0.028,0.018,0.5,0.002
04-04-19,13,,0.023,0.023,0.6,0.002
04-04-20,19,,0.022,0.021,0.6,0.002
04-04-21,20,,0.022,0.021,0.6,0.002
04-04-22,15,10,0.021,0.020,0.5,0.002
04-04-23,12,7,0.019,0.021,0.5,0.002
04-04-24,16,5,0.022,0.018,0.5,0.002
04-05-01,19,2,0.026,0.012,0.5,0.002
04-05-02,14,7,0.028,0.010,0.5,0.002
04-05-03,9,4,0.028,0.009,0.5,0.002
04-05-04,10,3,0.027,0.010,0.5,0.002
04-05-05,15,9,0.027,0.009,0.5,0.002
04-05-06,9,9,0.027,0.010,0.5,0.002
04-05-07,6,4,0.023,0.016,0.5,0.002
04-05-08,8,2,0.019,0.020,0.5,0.002
04-05-09,7,3,0.017,0.024,0.5,0.002
04-05-10,6,2,0.018,0.025,0.5,0.002
04-05-11,7,1,0.023,0.024,0.5,0.002
04-05-12,6,1,0.022,0.024,0.5,0.002
04-05-13,3,1,0.024,0.022,0.5,0.002
04-05-14,3,1,0.026,0.019,0.5,0.002
04-05-15,3,5,0.024,0.022,0.5,0.002
04-05-16,11,6,0.027,0.022,0.5,0.002
04-05-17,13,1,0.027,0.022,0.5,0.002
04-05-18,14,1,0.021,0.028,0.5,0.002
04-05-19,13,3,0.016,0.033,0.5,0.002
04-05-20,10,8,0.017,0.032,0.6,0.002
04-05-21,10,10,0.020,0.026,0.5,0.002
04-05-22,12,12,0.023,0.023,0.5,0.002
04-05-23,11,13,0.025,0.020,0.5,0.002
04-05-24,7,8,0.028,0.016,0.4,0.002
04-06-01,4,7,0.023,0.019,0.4,0.002
04-06-02,7,11,0.022,0.019,0.5,0.002
04-06-03,13,13,0.021,0.018,0.5,0.002
04-06-04,14,11,0.022,0.016,0.5,0.002
04-06-05,7,10,0.017,0.021,0.5,0.002
04-06-06,7,8,0.008,0.028,0.6,0.002
04-06-07,5,2,0.008,0.030,0.5,0.002
04-06-08,5,2,0.008,0.036,0.6,0.002
04-06-09,15,9,0.017,0.028,0.5,0.002
04-06-10,22,2,0.027,0.022,0.5,0.002
04-06-11,41,3,0.039,0.014,0.5,0.002
04-06-12,60,19,0.036,0.013,0.6,0.002
04-06-13,113,40,0.032,0.013,0.6,0.002
04-06-14,184,39,0.037,0.013,0.6,0.002
04-06-15,261,47,0.039,0.014,0.5,0.002
04-06-16,298,51,0.041,0.010,0.4,0.002
04-06-17,260,37,0.038,0.011,0.5,0.002
04-06-18,309,41,0.038,0.013,0.5,0.003
04-06-19,283,39,0.037,0.015,0.5,0.003
04-06-20,177,32,0.039,0.013,0.5,0.003
04-06-21,135,26,0.045,0.013,0.6,0.003
04-06-22,114,42,0.036,0.016,0.7,0.003
04-06-23,107,56,0.031,0.015,0.8,0.002
04-06-24,106,51,0.033,0.014,0.7,0.003
04-07-01,79,46,0.036,0.012,0.6,0.003
04-07-02,68,39,0.036,0.009,0.5,0.003
04-07-03,61,34,0.035,0.008,0.4,0.002
04-07-04,55,23,0.038,0.006,0.4,0.002
04-07-05,50,25,0.039,0.006,0.4,0.002
04-07-06,54,25,0.037,0.008,0.4,0.002
04-07-07,62,26,0.034,0.013,0.5,0.003
04-07-08,71,30,0.034,0.015,0.5,0.003
04-07-09,79,28,0.035,0.012,0.4,0.003
04-07-10,80,18,0.036,0.013,0.4,0.003
04-07-11,80,13,0.039,0.013,0.5,0.003
04-07-12,79,18,0.040,0.011,0.4,0.003
04-07-13,65,18,0.041,0.010,0.4,0.003
04-07-14,54,12,0.042,0.009,0.4,0.003
04-07-15,55,9,0.044,0.007,0.4,0.003
04-07-16,57,7,0.046,0.006,0.4,0.003
04-07-17,55,6,0.044,0.006,0.3,0.002
04-07-18,40,17,0.043,0.009,0.4,0.002
04-07-19,31,31,0.042,0.011,0.4,0.002
04-07-20,30,29,0.042,0.011,0.4,0.002
04-07-21,27,17,0.043,0.010,0.4,0.003
04-07-22,29,10,0.042,0.011,0.4,0.002
04-07-23,29,8,0.042,0.011,0.4,0.002
04-07-24,29,11,0.042,0.010,0.4,0.002
04-08-01,22,11,0.043,0.008,0.4,0.002
04-08-02,21,5,0.044,0.006,0.4,0.002
04-08-03,25,9,0.043,0.005,0.4,0.002
04-08-04,28,8,0.041,0.007,0.4,0.002
04-08-05,29,11,0.039,0.008,0.4,0.002
04-08-06,28,11,0.035,0.012,0.4,0.002
04-08-07,33,9,0.027,0.020,0.4,0.002
04-08-08,31,5,0.025,0.021,0.5,0.003
04-08-09,31,6,0.033,0.016,0.5,0.003
04-08-10,34,7,0.038,0.013,0.5,0.003
04-08-11,34,2,0.042,0.011,0.5,0.004
04-08-12,27,8,0.042,0.011,0.5,0.003
04-08-13,24,5,0.042,0.013,0.4,0.003
04-08-14,26,8,0.044,0.009,0.4,0.003
04-08-15,26,4,0.042,0.013,0.4,0.003
04-08-16,29,10,0.039,0.015,0.4,0.003
04-08-17,35,16,0.033,0.023,0.5,0.003
04-08-18,38,20,0.041,0.018,0.5,0.003
04-08-19,49,24,0.054,0.012,0.5,0.003
04-08-20,55,29,0.051,0.014,0.6,0.003
04-08-21,51,23,0.052,0.012,0.5,0.003
04-08-22,59,26,0.027,0.028,0.6,0.002
04-08-23,54,36,0.006,0.044,0.6,0.002
04-08-24,33,31,0.009,0.039,0.6,0.002
04-09-01,40,21,0.011,0.035,0.5,0.002
