DATE,PM10,PM2.5,O3,NO2,CO,SO2
08-01-01,25,,0.015,0.008,0.5,0.003
08-01-02,25,18,0.017,0.004,0.4,0.002
08-01-03,22,17,0.013,0.005,0.4,0.002
08-01-04,21,10,0.014,0.006,0.4,0.002
08-01-05,6,4,0.014,0.006,0.4,0.002
08-01-06,13,10,0.009,0.008,0.4,0.002
08-01-07,11,9,0.002,0.013,0.5,0.002
08-01-08,14,8,0.004,0.012,0.5,0.002
08-01-09,9,13,0.006,0.010,0.4,0.002
08-01-10,22,12,0.006,0.010,0.5,0.002
08-01-11,12,12,0.011,0.008,0.5,0.003
08-01-12,11,8,0.015,0.009,0.5,0.003
08-01-13,33,20,0.018,0.010,0.5,0.003
08-01-14,11,10,0.030,0.007,0.5,0.003
08-01-15,18,17,0.030,0.008,0.4,0.002
08-01-16,21,18,0.027,0.009,0.4,0.002
08-01-17,13,12,0.028,0.009,0.4,0.003
08-01-18,18,14,0.027,0.011,0.4,0.004
08-01-19,16,16,0.024,0.013,0.4,0.004
08-01-20,31,19,0.008,0.016,0.4,0.003
08-01-21,22,15,0.006,0.016,0.4,0.004
08-01-22,23,13,0.006,0.016,0.4,0.003
08-01-23,19,13,0.002,0.018,0.5,0.003
08-01-24,20,14,0.004,0.014,0.4,0.002
08-02-01,28,20,0.005,0.012,0.4,0.002
08-02-02,24,29,0.003,0.014,0.4,0.002
08-02-03,36,27,0.002,0.015,0.4,0.002
08-02-04,30,25,0.002,0.013,0.4,0.002
08-02-05,31,22,0.001,0.015,0.4,0.002
08-02-06,30,24,0.001,0.016,0.5,0.002
08-02-07,30,18,0.002,0.015,0.5,0.002
08-02-08,19,16,0.003,0.015,0.5,0.002
08-02-09,2,4,0.008,0.013,0.4,0.003
08-02-10,22,17,0.012,0.014,0.4,0.004
08-02-11,20,16,0.016,0.015,0.4,0.003
08-02-12,18,14,0.023,0.015,0.4,0.003
08-02-13,20,17,0.035,0.016,0.4,0.003
08-02-14,17,17,0.051,0.017,0.5,0.003
08-02-15,30,20,0.070,0.016,0.4,0.003
08-02-16,26,29,0.087,0.012,0.4,0.002
08-02-17,38,30,0.074,0.013,0.4,0.003
08-02-18,38,31,0.085,0.019,0.5,0.004
08-02-19,39,35,0.073,0.023,0.5,0.004
08-02-20,41,33,0.048,0.031,0.5,0.004
08-02-21,40,21,0.011,0.034,0.5,0.004
08-02-22,20,17,0.004,0.035,0.5,0.004
08-02-23,27,10,0.002,0.036,0.6,0.004
08-02-24,20,16,0.001,0.027,0.6,0.004
08-03-01,28,11,0,0.025,0.5,0.004
08-03-02,26,20,0.001,0.026,0.5,0.004
08-03-03,24,18,0.001,0.024,0.5,0.004
08-03-04,32,16,0.001,0.021,0.5,0.003
08-03-05,22,14,0.001,0.022,0.5,0.003
08-03-06,34,19,0.001,0.024,0.6,0.003
08-03-07,37,22,0.002,0.025,0.6,0.002
08-03-08,33,24,0.004,0.027,0.6,0.002
08-03-09,25,17,0.020,0.021,0.5,0.003
08-03-10,25,26,0.030,0.020,0.5,0.003
08-03-11,36,24,0.050,0.018,0.6,0.003
08-03-12,28,26,0.072,0.015,0.6,0.003
08-03-13,29,26,0.094,0.011,0.6,0.003
08-03-14,41,33,0.081,0.012,0.5,0.002
08-03-15,24,26,0.074,0.010,0.5,0.002
08-03-16,,27,0.084,0.009,0.4,0.002
08-03-17,53,38,0.101,0.012,0.5,0.003
08-03-18,47,34,0.075,0.010,0.4,0.002
08-03-19,15,8,0.061,0.019,0.5,0.002
08-03-20,23,12,0.047,0.025,0.5,0.002
08-03-21,25,20,0.039,0.030,0.6,0.002
08-03-22,34,16,0.016,0.044,0.7,0.002
08-03-23,25,23,0.020,0.038,0.6,0.002
08-03-24,28,22,0.006,0.042,0.6,0.002
08-04-01,43,12,0.002,0.045,0.6,0.002
08-04-02,36,26,0.011,0.034,0.6,0.002
08-04-03,35,32,0.003,0.038,0.6,0.002
08-04-04,30,24,0.009,0.029,0.6,0.002
08-04-05,28,28,0.009,0.024,0.6,0.002
08-04-06,38,22,0.004,0.027,0.6,0.002
08-04-07,33,20,0.013,0.020,0.6,0.002
08-04-08,30,18,0.023,0.016,0.5,0.002
08-04-09,24,20,0.034,0.015,0.6,0.003
08-04-10,43,42,0.061,0.013,0.7,0.003
08-04-11,49,42,0.069,0.013,0.6,0.004
08-04-12,50,41,0.087,0.010,0.8,0.006
08-04-13,38,43,0.098,0.008,0.7,0.005
08-04-14,45,42,0.102,0.007,0.6,0.004
08-04-15,62,49,0.103,0.010,0.6,0.005
08-04-16,67,63,0.094,0.012,0.6,0.004
08-04-17,52,54,0.093,0.008,0.6,0.005
08-04-18,46,50,0.070,0.012,0.6,0.005
08-04-19,57,48,0.045,0.020,0.5,0.005
08-04-20,52,46,0.056,0.021,0.6,0.004
08-04-21,50,46,0.036,0.026,0.6,0.004
08-04-22,54,47,0.032,0.028,0.6,0.004
08-04-23,53,56,0.032,0.026,0.6,0.004
08-04-24,57,55,0.032,0.023,0.7,0.005
08-05-01,67,66,0.036,0.017,0.7,0.005
08-05-02,73,70,0.039,0.014,0.7,0.005
08-05-03,75,59,0.046,0.011,0.6,0.006
08-05-04,66,62,0.044,0.012,0.6,0.005
08-05-05,60,56,0.026,0.018,0.7,0.005
08-05-06,57,48,0.011,0.023,0.7,0.004
08-05-07,30,32,0.003,0.033,0.8,0.003
08-05-08,,34,0.006,0.035,0.8,0.002
08-05-09,,28,0.021,0.027,0.7,0.002
08-05-10,29,28,0.038,0.019,0.6,0.002
08-05-11,38,39,0.061,0.016,0.6,0.002
08-05-12,52,42,0.081,0.012,0.6,0.002
08-05-13,51,52,0.096,0.010,0.5,0.002
08-05-14,66,50,0.096,0.011,0.5,0.002
08-05-15,44,44,0.102,0.011,0.5,0.002
08-05-16,49,34,0.102,0.012,0.5,0.002
08-05-17,57,54,0.123,0.016,0.6,0.002
08-05-18,70,56,0.132,0.026,0.6,0.003
08-05-19,66,53,0.103,0.025,0.6,0.003
08-05-20,54,49,0.058,0.031,0.6,0.003
08-05-21,68,48,0.044,0.025,0.6,0.003
08-05-22,46,41,0.031,0.027,0.6,0.002
08-05-23,47,43,0.017,0.034,0.6,0.002
08-05-24,48,42,0.002,0.050,0.7,0.002
08-06-01,59,52,0.015,0.034,0.6,0.002
08-06-02,45,45,0.029,0.015,0.6,0.002
08-06-03,47,37,0.028,0.013,0.6,0.002
08-06-04,41,44,0.022,0.016,0.6,0.002
08-06-05,43,42,0.021,0.016,0.6,0.002
08-06-06,41,37,0.014,0.020,0.6,0.002
08-06-07,33,30,0.009,0.026,0.6,0.002
08-06-08,30,29,0.012,0.025,0.6,0.003
08-06-09,27,22,0.019,0.022,0.6,0.003
08-06-10,30,26,0.030,0.020,0.6,0.003
08-06-11,32,28,0.046,0.020,0.6,0.002
08-06-12,31,34,0.057,0.016,0.5,0.002
08-06-13,,,,,,
08-06-14,41,28,0.076,0.013,0.4,0.002
08-06-15,27,27,0.066,0.013,0.4,0.002
08-06-16,29,26,0.061,0.014,0.4,0.002
08-06-17,35,26,0.050,0.019,0.4,0.002
08-06-18,39,33,0.043,0.022,0.4,0.002
08-06-19,38,28,0.035,0.027,0.4,0.002
08-06-20,30,26,0.029,0.021,0.4,0.002
08-06-21,21,21,0.025,0.017,0.4,0.002
08-06-22,21,16,0.023,0.014,0.4,0.002
08-06-23,12,16,0.019,0.012,0.3,0.002
08-06-24,17,13,0.019,0.010,0.3,0.002
08-07-01,23,16,0.020,0.008,0.3,0.002
08-07-02,19,16,0.020,0.007,0.3,0.002
08-07-03,12,16,0.019,0.007,0.3,0.002
08-07-04,14,9,0.019,0.006,0.3,0.002
08-07-05,18,14,0.020,0.005,0.3,0.002
08-07-06,12,17,0.015,0.009,0.4,0.002
08-07-07,22,14,0.006,0.017,0.4,0.002
08-07-08,15,10,0.005,0.019,0.4,0.002
08-07-09,20,15,0.004,0.018,0.4,0.002
08-07-10,21,18,0.005,0.019,0.5,0.002
08-07-11,15,12,0.007,0.020,0.5,0.002
