Real,Pred
45.36,40.947662
45.26,40.97711
45.099999999999994,40.967995
45.04,40.936295
44.88,40.89069
44.959999999999994,40.817326
44.86,40.70843
44.62,40.58637
44.36,40.448204
44.4,40.306538
44.36,40.19281
44.17999999999999,40.06666
44.16,39.88427
44.03999999999999,39.632195
44.08,39.327576
43.98,39.024475
44.059999999999995,38.73078
44.239999999999995,38.44412
44.239999999999995,38.273933
44.279999999999994,38.276543
44.199999999999996,38.26372
44.21999999999999,38.22261
44.279999999999994,38.170033
44.44,38.10827
44.279999999999994,38.041878
44.239999999999995,37.92649
44.04,37.770115
43.71999999999999,37.62916
43.779999999999994,37.49379
43.519999999999996,37.339016
43.379999999999995,37.163666
43.11999999999999,36.969944
42.99999999999999,36.770046
42.92,36.56437
42.879999999999995,36.34554
42.839999999999996,36.11392
42.82,35.968052
43.019999999999996,35.908466
42.9,35.944157
42.98,36.111893
43.12,36.387978
43.199999999999996,36.734806
43.14,37.124043
42.98,37.545647
43.099999999999994,37.941635
38.839999999999996,38.3409
38.89999999999999,38.70693
38.97999999999999,39.038864
39.019999999999996,39.30268
39.14,39.441998
39.16,39.455063
39.419999999999995,39.344723
39.61999999999999,39.08474
39.739999999999995,38.678562
39.76,38.143864
44.099999999999994,37.44691
44.199999999999996,36.55019
44.31999999999999,35.41337
44.48,33.991756
44.459999999999994,32.306763
44.459999999999994,30.395575
44.44,28.61139
44.43999999999999,27.37565
44.39999999999999,26.55297
44.39999999999999,26.111214
44.43999999999999,26.009253
44.43999999999999,26.079468
44.239999999999995,26.16651
44.26,26.244402
44.35999999999999,26.321005
44.459999999999994,26.420692
44.49999999999999,26.537918
44.66,26.635113
44.53999999999999,26.73469
44.48,26.814718
44.459999999999994,26.875097
44.43999999999999,26.912674
44.559999999999995,26.938334
44.4,26.948446
44.459999999999994,26.914371
44.48,26.862698
44.44,26.815828
44.3,26.784435
44.67999999999999,26.753874
44.919999999999995,26.73301
45.16,26.733574
45.26,26.784243
45.26,26.870972
45.48,26.970877
45.31999999999999,27.094854
45.4,27.227522
45.5,27.34144
45.559999999999995,27.443624
45.459999999999994,27.524298
45.3,27.59883
45.279999999999994,27.702492
45.11999999999999,27.784674
45.019999999999996,27.836138
45.08,27.892742
45.21999999999999,27.96363
45.33999999999999,28.046251
45.26,28.174124
45.379999999999995,28.371025
45.379999999999995,28.620348
45.519999999999996,28.9168
45.49999999999999,29.193731
45.519999999999996,29.487768
45.44,29.76542
45.31999999999999,30.019098
44.959999999999994,30.264929
44.58,30.37309
44.379999999999995,30.06461
44.16,29.552822
44.059999999999995,28.869411
43.7,28.010435
43.379999999999995,26.972967
43.26,25.868189
43.019999999999996,24.772448
42.58,23.80977
42.379999999999995,23.051609
42.26,22.456064
42.059999999999995,22.024225
41.76,21.668756
41.43999999999999,21.405441
41.019999999999996,21.205656
40.75999999999999,21.066336
40.33999999999999,20.94613
40.21999999999999,20.875551
39.98,20.829199
39.61999999999999,20.786264
39.2,20.748892
38.779999999999994,20.718681
38.5,20.705273
38.239999999999995,20.703796
38.12,20.715153
37.86,20.745153
37.739999999999995,20.788176
37.339999999999996,20.836292
37.21999999999999,20.885477
37.059999999999995,20.935621
36.980000000000004,20.990095
36.879999999999995,21.045721
36.5,21.08942
35.99999999999999,21.132484
35.599999999999994,21.168095
35.44,21.198557
35.25999999999999,21.224585
34.94,21.254057
34.72,21.287668
34.53999999999999,21.321497
34.2,21.36187
34.08,21.401428
33.959999999999994,21.441547
33.93999999999999,21.485758
33.779999999999994,21.53752
33.53999999999999,21.594677
33.459999999999994,21.654871
33.55999999999999,21.703318
33.42,21.749033
33.239999999999995,21.794529
33.22,21.835373
33.019999999999996,21.874
32.98,21.8999
32.71999999999999,21.916868
32.519999999999996,21.937914
32.3,21.952099
31.93999999999999,21.95819
31.699999999999996,21.955494
31.359999999999992,21.947945
31.179999999999996,21.935587
30.71999999999999,21.905474
30.559999999999995,21.853695
30.279999999999994,21.80124
30.24,21.75485
30.279999999999994,21.708876
30.15999999999999,21.676167
29.859999999999996,21.672249
